SQLDATE,EventCode,GoldsteinScale,NumMentions,AvgTone,ActionGeo_Type,ActionGeo_Lat,ActionGeo_Long,SOURCEURL
20220517,190,-10.0,2,-7.73333333333332,4,50.4333,30.5167,http://www.msn.com/en-us/news/world/biden-must-not-apply-the-wrong-ukraine-lessons-to-taiwan-s-situation/ar-AAXndow
20220517,193,-10.0,2,-1.95694716242661,4,39.9289,116.388,https://www.taiwannews.com.tw/en/news/4540888
20220517,193,-10.0,2,-6.67346059223877,4,39.9289,116.388,https://www.msn.com/en-in/news/other/us-chinese-immigrant-attacked-church-over-hatred-for-taiwan-says-police/ar-AAXmMnJ
20220517,154,-7.2,1,-3.11545510079414,4,39.9289,116.388,https://www.msn.com/en-us/news/world/what-could-happen-if-china-invaded-taiwan/ar-AAS1ry6
20220517,190,-10.0,8,-7.73333333333332,4,39.9289,116.388,http://www.msn.com/en-us/news/world/biden-must-not-apply-the-wrong-ukraine-lessons-to-taiwan-s-situation/ar-AAXndow
20220517,190,-10.0,16,-6.37918902140342,4,39.9289,116.388,https://www.msn.com/en-in/news/other/us-chinese-immigrant-attacked-church-over-hatred-for-taiwan-says-police/ar-AAXmMnJ
20220517,193,-10.0,2,-6.69456066945607,4,39.9289,116.388,https://www.msn.com/en-in/news/other/us-chinese-immigrant-attacked-church-over-hatred-for-taiwan-says-police/ar-AAXmMnJ
20220517,190,-10.0,2,-5.79064587973274,4,39.9289,116.388,https://news.webindia123.com/news/Articles/World/20220517/3942478.html
20220517,154,-7.2,3,-3.11545510079414,4,39.9289,116.388,https://www.msn.com/en-us/news/world/what-could-happen-if-china-invaded-taiwan/ar-AAS1ry6
20220517,190,-10.0,6,-6.37918902140342,4,25.0478,121.532,https://www.msn.com/en-in/news/other/us-chinese-immigrant-attacked-church-over-hatred-for-taiwan-says-police/ar-AAXmMnJ
20220517,193,-10.0,1,-6.69456066945607,4,25.0478,121.532,https://www.msn.com/en-in/news/other/us-chinese-immigrant-attacked-church-over-hatred-for-taiwan-says-police/ar-AAXmMnJ
20220517,193,-10.0,4,-6.69456066945607,4,25.0478,121.532,https://www.msn.com/en-in/news/other/us-chinese-immigrant-attacked-church-over-hatred-for-taiwan-says-police/ar-AAXmMnJ
20220517,193,-10.0,2,-5.79064587973274,4,25.0478,121.532,https://news.webindia123.com/news/Articles/World/20220517/3942478.html
20220517,193,-10.0,6,-5.79064587973274,4,25.0478,121.532,https://news.webindia123.com/news/Articles/World/20220517/3942478.html
20220517,154,-7.2,1,-3.11545510079414,4,25.0478,121.532,https://www.msn.com/en-us/news/world/what-could-happen-if-china-invaded-taiwan/ar-AAS1ry6
20220517,193,-10.0,1,-4.70430107526881,4,25.0478,121.532,https://news.ltn.com.tw/news/focus/breakingnews/3930079
20220517,193,-10.0,8,-1.95694716242661,4,24.1472,121.19,https://www.taiwannews.com.tw/en/news/4540888
20220517,193,-10.0,1,-4.70430107526881,3,33.565,-117.727,https://news.ltn.com.tw/news/focus/breakingnews/3930079
20220517,193,-10.0,1,-4.70430107526881,3,38.8951,-77.0364,https://news.ltn.com.tw/news/focus/breakingnews/3930079
20220517,193,-10.0,8,-7.3345259391771,3,38.5816,-121.494,https://www.latinpost.com/articles/155241/20220516/california-church-shooting-sparked-taiwan-china-conflict.htm
20220517,193,-10.0,2,-4.70430107526881,4,25.0478,121.532,https://news.ltn.com.tw/news/focus/breakingnews/3930079
20220419,192,-9.5,8,-0.13908205841447,4,39.9289,116.388,https://www.claremontindependent.com/post/american-semiconductors-will-give-the-us-an-edge-over-china-in-the-technological-cold-war
20220419,192,-9.5,2,-0.13908205841447,4,39.9289,116.388,https://www.claremontindependent.com/post/american-semiconductors-will-give-the-us-an-edge-over-china-in-the-technological-cold-war
20170320,154,-7.2,2,-0.12674271229405,5,41.0,123.0,http://news.ltn.com.tw/news/focus/breakingnews/2010892
20170319,190,-10.0,10,-2.67379679144385,4,39.9289,116.388,http://www.taipeitimes.com/News/taiwan/archives/2017/03/21/2003667175
20170320,194,-10.0,5,-0.51546391752577,4,39.9289,116.388,https://www.thestreet.com/story/14050469/1/taiwan-says-mainland-chinese-medium-range-ballistic-missiles-aimed-at-the-island.html
