Current Official Name of Satellite,NORAD Number,Detailed Purpose,Users,sensor_type
Dove 4s-3 ,47494,Optical Imaging,Commercial,EO
Dove 4s-30 ,47544,Optical Imaging,Commercial,EO
Dove 4s-31 ,47475,Optical Imaging,Commercial,EO
Dove 4s-33 ,47469,Optical Imaging,Commercial,EO
Dove 4s-34 ,47477,Optical Imaging,Commercial,EO
Dove 4s-35 ,47473,Optical Imaging,Commercial,EO
Dove 4s-36 ,47530,Optical Imaging,Commercial,EO
Dove 4s-37 ,47522,Optical Imaging,Commercial,EO
Dove 4s-39 ,47490,Optical Imaging,Commercial,EO
Dove 4s-4 ,47491,Optical Imaging,Commercial,EO
Dove 4s-41 ,47698,Optical Imaging,Commercial,EO
Dove 4s-42 ,47612,Optical Imaging,Commercial,EO
Dove 4s-43 ,47687,Optical Imaging,Commercial,EO
Dove 4s-44 ,47686,Optical Imaging,Commercial,EO
Dove 4s-45 ,47688,Optical Imaging,Commercial,EO
Dove 4s-46 ,47684,Optical Imaging,Commercial,EO
Dove 4s-47 ,47685,Optical Imaging,Commercial,EO
Dove 4s-48 ,47617,Optical Imaging,Commercial,EO
Dove 4s-5 ,47515,Optical Imaging,Commercial,EO
Dove 4s-6 ,47518,Optical Imaging,Commercial,EO
Dove 4s-7 ,47527,Optical Imaging,Commercial,EO
Dove 4s-8 ,47474,Optical Imaging,Commercial,EO
Dove 4s-9 ,47478,Optical Imaging,Commercial,EO
Dove 4v-1,46313,Optical Imaging,Commercial,EO
Dove 4v-10,46296,Optical Imaging,Commercial,EO
Dove 4v-11,46285,Optical Imaging,Commercial,EO
Dove 4v-13,46297,Optical Imaging,Commercial,EO
Dove 4v-14,46286,Optical Imaging,Commercial,EO
Dove 4v-15,46528,Optical Imaging,Commercial,EO
Dove 4v-16,46527,Optical Imaging,Commercial,EO
Dove 4v-17,46529,Optical Imaging,Commercial,EO
Dove 4v-18,46597,Optical Imaging,Commercial,EO
Dove 4v-19,46609,Optical Imaging,Commercial,EO
Dove 4v-20,46621,Optical Imaging,Commercial,EO
Dove 4v-22,46735,Optical Imaging,Commercial,EO
Dove 4v-23,46737,Optical Imaging,Commercial,EO
Dove 4v-24,46738,Optical Imaging,Commercial,EO
Dove 4v-25,46812,Optical Imaging,Commercial,EO
Dove 4v-26,46825,Optical Imaging,Commercial,EO
Dove 4v-4,46314,Optical Imaging,Commercial,EO
Dove 4v-5,46290,Optical Imaging,Commercial,EO
Dove 4v-6,46289,Optical Imaging,Commercial,EO
Dove 4v-7,46291,Optical Imaging,Commercial,EO
Dove 4v-8,46288,Optical Imaging,Commercial,EO
Dove 4x-1,51017,Optical Imaging,Commercial,EO
Dove 4x-10,51037,Optical Imaging,Commercial,EO
Dove 4x-11,51049,Optical Imaging,Commercial,EO
Dove 4x-12,51015,Optical Imaging,Commercial,EO
Dove 4x-13,51028,Optical Imaging,Commercial,EO
Dove 4x-14,51066,Optical Imaging,Commercial,EO
Dove 4x-15,51010,Optical Imaging,Commercial,EO
Dove 4x-16,51020,Optical Imaging,Commercial,EO
Dove 4x-17,51035,Optical Imaging,Commercial,EO
Dove 4x-18,51007,Optical Imaging,Commercial,EO
Dove 4x-19,51046,Optical Imaging,Commercial,EO
Dove 4x-2,50996,Optical Imaging,Commercial,EO
Dove 4x-20,50997,Optical Imaging,Commercial,EO
Dove 4x-21,51040,Optical Imaging,Commercial,EO
Dove 4x-22,51003,Optical Imaging,Commercial,EO
Dove 4x-24,51056,Optical Imaging,Commercial,EO
Dove 4x-25,51016,Optical Imaging,Commercial,EO
Dove 4x-26,51026,Optical Imaging,Commercial,EO
Dove 4x-28,51045,Optical Imaging,Commercial,EO
Dove 4x-29,51011,Optical Imaging,Commercial,EO
Dove 4x-3,51006,Optical Imaging,Commercial,EO
Dove 4x-30,51000,Optical Imaging,Commercial,EO
Dove 4x-31,51041,Optical Imaging,Commercial,EO
Dove 4x-32,51024,Optical Imaging,Commercial,EO
Dove 4x-34,51042,Optical Imaging,Commercial,EO
Dove 4x-35,51048,Optical Imaging,Commercial,EO
Dove 4x-36,51039,Optical Imaging,Commercial,EO
Dove 4x-37,51009,Optical Imaging,Commercial,EO
Dove 4x-38,51023,Optical Imaging,Commercial,EO
Dove 4x-39,51029,Optical Imaging,Commercial,EO
Dove 4x-4,51064,Optical Imaging,Commercial,EO
Dove 4x-40,51052,Optical Imaging,Commercial,EO
Dove 4x-41,51005,Optical Imaging,Commercial,EO
Dove 4x-42,51018,Optical Imaging,Commercial,EO
Dove 4x-43,51027,Optical Imaging,Commercial,EO
Dove 4x-44,50993,Optical Imaging,Commercial,EO
Dove 4x-5,51004,Optical Imaging,Commercial,EO
Dove 4x-6,51043,Optical Imaging,Commercial,EO
Dove 4x-7,51065,Optical Imaging,Commercial,EO
Dove 4x-8 ,50992,Optical Imaging,Commercial,EO
Dove 4x-9,51047,Optical Imaging,Commercial,EO
Dove 4y-1,55039,Optical Imaging,Commercial,EO
Dove 4y-10,55029,Optical Imaging,Commercial,EO
Dove 4y-11,55043,Optical Imaging,Commercial,EO
Dove 4y-12,55065,Optical Imaging,Commercial,EO
Dove 4y-13,55079,Optical Imaging,Commercial,EO
Dove 4y-14,55024,Optical Imaging,Commercial,EO
Dove 4y-15,55068,Optical Imaging,Commercial,EO
Dove 4y-16,55040,Optical Imaging,Commercial,EO
Dove 4y-17,55031,Optical Imaging,Commercial,EO
Dove 4y-18,55023,Optical Imaging,Commercial,EO
Dove 4y-19,55026,Optical Imaging,Commercial,EO
