OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
WORLDVIEW-2 (WV-2),2009-055A,2026-04-22T18:34:49.730880,14.37927147,0.0004925,98.4694,187.0051,39.5494,320.6052,0,U,35946,999,86768,4.03E-05,7.80E-07,0
SMOS,2009-059A,2026-04-22T19:13:21.679104,14.39742878,0.0001193,98.4435,300.9447,92.701,267.4315,0,U,36036,999,86548,5.71E-05,1.35E-06,0
YAOGAN-7,2009-069A,2026-04-22T05:39:03.304224,14.7795277,0.00236933,98.014,358.4292,217.2935,142.6632,0,U,36110,999,88136,5.65E-05,3.56E-06,0
TANDEM-X,2010-030A,2026-04-21T11:29:57.571584,15.19149482,0.0001878,97.446,119.994,96.8223,263.3225,0,U,36605,999,87803,1.64E-05,2.77E-06,0
CARTOSAT-2B,2010-035A,2026-04-22T20:23:33.997056,14.7866034,0.0011597,98.0001,163.7379,17.1095,343.0505,0,U,36795,999,85167,1.08E-04,7.40E-06,0
YAOGAN-10,2010-038A,2026-04-22T20:37:59.115072,14.8517586,0.000146,97.9024,136.7009,88.0555,85.2083,0,U,36834,999,84899,2.00E-04,1.66E-05,0
COSMO-SKYMED 4,2010-060A,2026-04-22T19:33:44.739360,14.82160295,0.00015,97.8886,297.2161,78.715,281.4232,0,U,37216,999,83636,1.33E-04,1.01E-05,0
RESOURCESAT-2,2011-015A,2026-04-22T18:26:14.767872,14.21598175,0.0012255,98.7671,180.5847,61.3057,298.935,0,U,37387,999,77830,5.48E-05,7.60E-07,0
HAIYANG-2A,2011-043A,2026-04-22T19:32:33.332352,13.76104858,0.0005933,99.3415,116.6468,192.2661,167.8346,0,U,37781,999,73904,3.68E-05,-8.00E-08,0
RASAT,2011-044D,2026-04-22T20:25:01.782048,14.68112577,0.0020978,98.0546,205.1003,11.7793,126.7411,0,U,37791,999,78506,9.03E-05,4.71E-06,0
SRMSAT,2011-058D,2026-04-22T03:46:33.502944,14.11561813,0.00115954,19.9731,38.6033,307.5892,83.1132,0,U,37841,999,74989,5.72E-05,3.70E-06,0
PLEIADES 1A,2011-076F,2026-04-22T20:19:22.058112,14.58534601,0.0001099,98.1983,188.6877,76.207,59.8551,0,U,38012,999,76392,4.65E-05,1.70E-06,0
ZIYUAN 1-02C (ZY 1-02C),2011-079A,2026-04-22T20:20:52.143072,14.38166519,0.0007631,98.4095,181.3058,109.9044,16.2809,0,U,38038,999,75125,6.53E-05,1.55E-06,0
ARIRANG-3 (KOMPSAT-3),2012-025B,2026-04-22T21:02:24.967104,14.62154986,0.0004116,98.1131,71.3077,295.7936,64.284,0,U,38338,999,74326,6.93E-05,3.02E-06,0
EXACTVIEW-1 (ADS-1B),2012-039C,2026-04-22T13:25:37.096032,14.24967218,0.00103256,98.9698,228.7143,336.9898,23.0817,0,U,38709,999,71478,5.47E-05,8.10E-07,0
SPOT 6,2012-047A,2026-04-22T20:03:39.722688,14.58519836,0.0001258,98.2142,180.7837,83.0189,277.1153,0,U,38755,999,72498,4.68E-05,1.72E-06,0
PLEIADES 1B,2012-068A,2026-04-22T20:31:36.774336,14.58560734,0.0001082,98.1954,188.6639,83.5629,276.5693,0,U,39019,999,71278,4.78E-05,1.76E-06,0
GOKTURK 2,2012-073A,2026-04-22T19:29:26.995200,14.75488318,0.0001812,97.6856,313.0099,103.9007,256.2404,0,U,39030,999,71634,1.00E-04,6.34E-06,0
LANDSAT 8,2013-008A,2026-04-22T17:54:14.097600,14.57102794,0.0001169,98.1856,183.7316,93.8687,266.2645,0,U,39084,999,68982,1.37E-05,1.60E-07,0
SARAL,2013-009A,2026-04-22T19:18:35.277408,14.3284179,0.0003015,98.5565,300.0709,89.4263,270.7266,0,U,39086,999,68767,3.65E-05,5.60E-07,0
GAOFEN-1,2013-018A,2026-04-22T19:58:52.519584,14.7654956,0.0018683,97.9109,186.0184,84.78,275.5542,0,U,39150,999,70007,9.30E-05,6.00E-06,0
VNREDSAT 1,2013-021B,2026-04-22T19:53:22.248672,14.64947753,0.0001269,97.9123,168.3561,87.2328,272.9021,0,U,39160,999,69218,9.64E-05,4.70E-06,0
ARIRANG-5 (KOMPSAT-5),2013-042A,2026-04-22T19:56:53.343744,15.04498055,0.0003034,97.6217,300.3061,3.5613,356.5634,0,U,39227,999,69553,1.55E-04,2.10E-05,0
SKYSAT-A,2013-066C,2026-04-22T13:32:07.959264,15.12642558,0.0022679,97.3867,163.7318,143.6188,216.659,0,U,39418,999,68007,1.39E-04,2.38E-05,0
DUBAISAT-2,2013-066D,2026-04-22T20:51:37.310976,15.09763696,0.0009993,97.4561,104.4862,216.769,143.2855,0,U,39419,999,67804,1.59E-04,2.51E-05,0
GPM-CORE,2014-009C,2026-04-22T19:10:23.491200,15.44609908,0.001232,64.9709,133.7318,259.7454,100.2298,0,U,39574,999,68925,1.08E-04,4.80E-05,0
SENTINEL-1A,2014-016A,2026-04-22T21:26:15.764064,14.59198366,0.0001416,98.1804,121.2294,84.3934,275.7427,0,U,39634,999,64195,2.47E-05,7.10E-07,0
KAZEOSAT 1,2014-024A,2026-04-22T20:39:04.792032,14.42057013,0.0001392,98.3218,186.6778,98.4413,261.6935,0,U,39731,999,63058,4.89E-05,1.18E-06,0
ALOS-2,2014-029A,2026-04-22T19:34:20.059680,14.79465341,0.0001819,97.9199,210.7714,88.1109,272.0311,0,U,39766,999,64339,-1.60E-05,-1.71E-06,0
KAZEOSAT 2,2014-033A,2026-04-22T20:36:22.091328,14.85404344,0.0009587,97.545,315.3828,134.0391,226.1617,0,U,40010,999,64074,1.14E-04,9.31E-06,0
HODOYOSHI-4,2014-033B,2026-04-22T19:51:33.518592,14.87992339,0.0024895,97.5462,300.3261,126.6007,233.7506,0,U,40011,999,64057,1.78E-04,1.59E-05,0
DEIMOS-2,2014-033D,2026-04-22T21:57:20.056608,14.9356478,0.0001842,97.5895,349.3287,101.3353,258.8074,0,U,40013,999,62947,1.09E-04,1.09E-05,0
HODOYOSHI-3,2014-033F,2026-04-22T12:57:43.600608,14.85259302,0.0033106,97.6368,277.8414,175.3709,184.7819,0,U,40015,999,63936,9.68E-05,7.86E-06,0
SPOT 7,2014-034A,2026-04-22T20:11:44.038752,14.60908608,0.00016,98.066,176.75,78.9895,281.1486,0,U,40053,999,62905,9.83E-05,4.36E-06,0
SKYSAT-B,2014-037D,2026-04-22T09:03:09.934848,14.87874203,0.00069855,98.3795,68.1835,97.3233,262.8776,0,U,40072,999,63766,1.19E-04,1.03E-05,0
WORLDVIEW-3 (WV-3),2014-048A,2026-04-22T18:41:39.691104,14.84926024,0.0002738,97.8581,188.3762,114.7767,245.3733,0,U,40115,999,63368,7.54E-05,5.89E-06,0
GAOFEN-2,2014-049A,2026-04-22T20:05:46.355712,14.80832885,0.0008634,98.0141,177.0887,58.2694,301.9359,0,U,40118,999,63104,2.92E-05,1.72E-06,0
