위성명,NORAD_ID,통과시간(UTC),최대앙각(°),궤도고도(km)
OBJECT E,52948,2022-08-04 16:33:00,65.5,492.1
TBA - TO BE ASSIGNED,270218,2022-08-04 16:44:00,65.5,1022.3
TBA - TO BE ASSIGNED,87541,2022-08-04 14:21:00,65.4,1179.9
TBA - TO BE ASSIGNED,270025,2022-08-04 21:03:00,65.4,890.5
TBA - TO BE ASSIGNED,270207,2022-08-04 00:44:00,65.3,787.5
H-2A DEB,53330,2022-08-04 06:24:00,65.2,636.2
TBA - TO BE ASSIGNED,81219,2022-08-04 20:59:00,65.2,969.3
TBA - TO BE ASSIGNED,87405,2022-08-04 15:13:00,65.1,969.5
TBA - TO BE ASSIGNED,270234,2022-08-04 09:27:00,65.1,597.2
MINOTAUR 4 DEB,52980,2022-08-04 15:56:00,65.1,564.7
H-2A DEB,53123,2022-08-04 18:17:00,65.1,566.3
ICEYE-X24,52755,2022-08-04 05:25:00,65.0,539.6
TBA - TO BE ASSIGNED,81667,2022-08-04 16:29:00,65.0,777.4
STARLINK-4071,52671,2022-08-04 01:32:00,65.0,544.5
COSMOS 2556,52713,2022-08-04 03:39:00,65.0,518.1
ION SCV-006,52761,2022-08-04 05:21:00,65.0,541.8
STARLINK-4205,53174,2022-08-04 03:08:00,65.0,355.9
GAOFEN 12 (03),52912,2022-08-04 02:06:00,64.9,648.8
TBA - TO BE ASSIGNED,85175,2022-08-04 08:18:00,64.9,784.4
STARLINK-3945,52691,2022-08-04 15:21:00,64.9,542.6
STARLINK-4344,53072,2022-08-04 21:33:00,64.9,417.7
FREGAT DEB,52961,2022-08-04 17:11:00,64.9,585.1
OBJECT G,52791,2022-08-04 18:36:00,64.8,619.0
TBA - TO BE ASSIGNED,89123,2022-08-04 15:59:00,64.7,862.7
TBA - TO BE ASSIGNED,87280,2022-08-04 21:59:00,64.7,1173.4
TBA - TO BE ASSIGNED,81359,2022-08-04 02:20:00,64.7,935.5
STARLINK-4211,52873,2022-08-04 07:40:00,64.7,352.2
STARLINK-4317,53058,2022-08-04 09:47:00,64.7,418.5
STARLINK-4314,53056,2022-08-04 09:47:00,64.7,417.9
STARLINK-4115,53032,2022-08-04 12:47:00,64.6,352.6
TBA - TO BE ASSIGNED,270025,2022-08-04 08:34:00,64.6,787.2
TBA - TO BE ASSIGNED,85011,2022-08-04 18:40:00,64.6,785.2
STARLINK-4038,53150,2022-08-04 03:11:00,64.6,354.4
TBA - TO BE ASSIGNED,81123,2022-08-04 22:01:00,64.5,980.1
STARLINK-4209,52855,2022-08-04 07:43:00,64.5,351.7
STARLINK-4197,52849,2022-08-04 07:44:00,64.4,351.7
STARLINK-4352,53047,2022-08-04 09:48:00,64.4,418.0
COSMOS 2251 DEB,53093,2022-08-04 08:52:00,64.4,789.8
TBA - TO BE ASSIGNED,81392,2022-08-04 12:27:00,64.3,1013.9
STARLINK-4252,53057,2022-08-04 09:46:00,64.3,418.7
SUPERVIEW NEO-2 02,53130,2022-08-04 10:07:00,64.3,504.9
TBA - TO BE ASSIGNED,81683,2022-08-04 16:04:00,64.3,758.0
TBA - TO BE ASSIGNED,87624,2022-08-04 12:56:00,64.3,721.9
TBA - TO BE ASSIGNED,85246,2022-08-04 04:20:00,64.3,984.1
STARLINK-4153,53037,2022-08-04 12:46:00,64.2,352.6
TBA - TO BE ASSIGNED,89493,2022-08-04 00:24:00,64.2,875.5
COSMOS 1408 DEB,52814,2022-08-04 21:31:00,64.2,444.2
STARLINK-3997,52609,2022-08-04 09:21:00,64.2,543.9
STARLINK-4082,52658,2022-08-04 01:10:00,64.1,543.8
STARLINK-4157,53035,2022-08-04 12:46:00,64.1,353.0
TBA - TO BE ASSIGNED,81069,2022-08-04 21:45:00,64.1,1110.9
COSMOS 1408 DEB,52919,2022-08-04 11:54:00,64.1,584.3
TBA - TO BE ASSIGNED,270105,2022-08-04 21:51:00,64.0,770.3
TBA - TO BE ASSIGNED,270229,2022-08-04 06:28:00,64.0,996.0
TBA - TO BE ASSIGNED,89146,2022-08-04 17:42:00,64.0,737.3
TBA - TO BE ASSIGNED,270069,2022-08-04 09:39:00,64.0,964.5
STARLINK-4204,52854,2022-08-04 07:43:00,63.9,352.1
H-2A DEB,53342,2022-08-04 06:21:00,63.9,653.5
TBA - TO BE ASSIGNED,82199,2022-08-04 00:09:00,63.8,964.5
TBA - TO BE ASSIGNED,89327,2022-08-04 23:21:00,63.8,952.3
STARLINK-4158,53027,2022-08-04 12:47:00,63.8,352.4
STARLINK-4027,52601,2022-08-04 23:50:00,63.8,543.2
TBA - TO BE ASSIGNED,270182,2022-08-04 16:53:00,63.7,846.9
STARLINK-4139,52879,2022-08-04 07:39:00,63.7,352.1
TBA - TO BE ASSIGNED,81405,2022-08-04 09:52:00,63.7,1056.0
OBJECT H,52951,2022-08-04 17:01:00,63.6,496.4
TBA - TO BE ASSIGNED,270215,2022-08-04 19:08:00,63.6,913.0
STARLINK-4114,53162,2022-08-04 03:10:00,63.6,354.8
H-2A DEB,53336,2022-08-04 06:44:00,63.6,687.2
STARLINK-4299,53172,2022-08-04 03:08:00,63.6,354.8
STARLINK-4181,52882,2022-08-04 07:39:00,63.6,350.8
TBA - TO BE ASSIGNED,81406,2022-08-04 07:50:00,63.6,586.0
STARLINK-4104,53163,2022-08-04 03:09:00,63.4,354.5
TBA - TO BE ASSIGNED,87706,2022-08-04 17:40:00,63.4,655.6
DUMMY CUBESAT,52983,2022-08-04 19:37:00,63.4,705.6
STARLINK-4035,52690,2022-08-04 00:29:00,63.4,544.1
STARLINK-4320,53059,2022-08-04 09:46:00,63.4,418.1
STARLINK-4098,53153,2022-08-04 03:11:00,63.3,354.6
STARLINK-4013,52604,2022-08-04 09:47:00,63.3,544.1
STARLINK-4186,52880,2022-08-04 07:39:00,63.3,352.4
STARLINK-4117,53169,2022-08-04 03:08:00,63.3,355.7
TBA - TO BE ASSIGNED,81652,2022-08-04 21:03:00,63.3,954.0
STARLINK-3945,52691,2022-08-04 15:22:00,63.3,546.4
STARLINK-4326,53081,2022-08-04 21:31:00,63.3,417.7
STARLINK-4032,52688,2022-08-04 00:31:00,63.2,544.5
STARLINK-4116,53164,2022-08-04 03:09:00,63.2,354.3
TBA - TO BE ASSIGNED,81521,2022-08-04 11:22:00,63.2,666.5
TBA - TO BE ASSIGNED,87730,2022-08-04 11:26:00,63.2,970.7
TBA - TO BE ASSIGNED,87587,2022-08-04 20:49:00,63.2,755.2
TBA - TO BE ASSIGNED,82698,2022-08-04 17:28:00,63.1,836.3
STARLINK-4319,53084,2022-08-04 21:30:00,63.1,418.1
TBA - TO BE ASSIGNED,270086,2022-08-04 09:34:00,63.0,762.1
STARLINK-4207,52871,2022-08-04 07:40:00,63.0,352.5
STARLINK-4309,53066,2022-08-04 09:45:00,62.9,418.3
TBA - TO BE ASSIGNED,81425,2022-08-04 03:22:00,62.8,1044.4
TBA - TO BE ASSIGNED,87113,2022-08-04 11:08:00,62.8,534.5
H-2A DEB,53339,2022-08-04 18:20:00,62.7,482.3
CTIM,52950,2022-08-04 01:41:00,62.7,497.7
TBA - TO BE ASSIGNED,270010,2022-08-04 02:39:00,62.7,1085.6
TBA - TO BE ASSIGNED,82298,2022-08-04 15:59:00,62.5,892.2
STARLINK-4258,53180,2022-08-04 03:07:00,62.5,355.2
TBA - TO BE ASSIGNED,89161,2022-08-04 10:52:00,62.5,743.8
STARLINK-4355,53048,2022-08-04 09:49:00,62.5,418.1
TBA - TO BE ASSIGNED,270130,2022-08-04 11:58:00,62.5,859.6
STARLINK-4073,52672,2022-08-04 15:35:00,62.5,542.9
H-2A DEB,53124,2022-08-04 18:19:00,62.5,541.9
STARLINK-4336,53051,2022-08-04 09:47:00,62.5,417.6
GAOFEN 12 (03),52912,2022-08-04 02:07:00,62.4,647.1
STARLINK-3996,52617,2022-08-04 08:41:00,62.4,548.6
TBA - TO BE ASSIGNED,85027,2022-08-04 21:29:00,62.4,885.6
STARLINK-4046,52842,2022-08-04 17:19:00,62.3,468.5
H-2A DEB,53114,2022-08-04 18:19:00,62.3,492.7
STARLINK-3915,52581,2022-08-04 22:57:00,62.3,544.5
STARLINK-4261,52868,2022-08-04 07:41:00,62.3,352.3
STARLINK-3998,52610,2022-08-04 00:27:00,62.3,543.5
TBA - TO BE ASSIGNED,81380,2022-08-04 16:48:00,62.3,758.5
STARLINK-4187,52850,2022-08-04 17:00:00,62.2,459.4
TBA - TO BE ASSIGNED,270162,2022-08-04 19:09:00,62.2,731.1
TBA - TO BE ASSIGNED,82683,2022-08-04 08:16:00,62.2,985.2
STARLINK-4203,53021,2022-08-04 12:48:00,62.2,352.5
TBA - TO BE ASSIGNED,85010,2022-08-04 01:49:00,62.1,1018.5
UMBRA-03,52753,2022-08-04 05:19:00,62.1,540.2
STARLINK-4323,53069,2022-08-04 21:33:00,62.0,417.3
STARLINK-3893,52579,2022-08-04 00:16:00,62.0,544.6
STARLINK-4137,53031,2022-08-04 12:46:00,62.0,352.9
STARLINK-3741,52619,2022-08-04 08:40:00,62.0,543.7
STARLINK-3955,52561,2022-08-04 23:28:00,61.9,544.3
STARLINK-4080,52835,2022-08-04 17:23:00,61.9,470.0
STARLINK-4193,52875,2022-08-04 07:40:00,61.9,352.2
STARLINK-3917,52588,2022-08-04 22:29:00,61.9,543.7
STARLINK-4298,53177,2022-08-04 03:07:00,61.8,354.8
STARLINK-3967,52636,2022-08-04 23:09:00,61.8,543.9
STARLINK-4339,53054,2022-08-04 09:48:00,61.8,418.7
TBA - TO BE ASSIGNED,87228,2022-08-04 06:30:00,61.8,747.5
TBA - TO BE ASSIGNED,53096,2022-08-04 00:04:00,61.7,730.8
STARLINK-4087,53156,2022-08-04 03:10:00,61.7,354.4
TBA - TO BE ASSIGNED,85061,2022-08-04 23:33:00,61.7,1149.0
NUSAT-31 (RUBY PAYNE-S),52752,2022-08-04 05:41:00,61.7,540.5
STARLINK-4014,52684,2022-08-04 00:57:00,61.6,545.0
TBA - TO BE ASSIGNED,81386,2022-08-04 12:24:00,61.6,774.3
TBA - TO BE ASSIGNED,270178,2022-08-04 20:50:00,61.6,811.5
STARLINK-4145,53137,2022-08-04 03:13:00,61.5,356.0
COSMOS 1408 DEB,52926,2022-08-04 10:33:00,61.5,481.2
STARLINK-4251,53083,2022-08-04 10:02:00,61.5,418.3
STARLINK-4329,53087,2022-08-04 21:30:00,61.5,417.0
TBA - TO BE ASSIGNED,270066,2022-08-04 02:46:00,61.5,688.7
TBA - TO BE ASSIGNED,82187,2022-08-04 09:18:00,61.5,662.1
TBA - TO BE ASSIGNED,89251,2022-08-04 02:20:00,61.4,900.9
STARLINK-4312,53065,2022-08-04 21:34:00,61.3,417.8
TBA - TO BE ASSIGNED,85238,2022-08-04 06:50:00,61.3,949.6
OBJECT A,52785,2022-08-04 03:53:00,61.2,605.0
STARLINK-4344,53072,2022-08-04 09:44:00,61.2,418.2
STARLINK-3989,52630,2022-08-04 23:36:00,61.2,543.2
STARLINK-4106,53145,2022-08-04 03:12:00,61.2,355.0
TBA - TO BE ASSIGNED,81386,2022-08-04 01:38:00,61.2,923.6
TBA - TO BE ASSIGNED,270121,2022-08-04 17:46:00,61.1,738.8
TBA - TO BE ASSIGNED,85210,2022-08-04 15:40:00,61.1,1176.6
STARLINK-4306,53067,2022-08-04 21:33:00,61.0,417.3
H-2A DEB,53334,2022-08-04 06:18:00,61.0,588.4
STARLINK-4119,53026,2022-08-04 12:48:00,60.9,352.5
TBA - TO BE ASSIGNED,87211,2022-08-04 03:41:00,60.9,824.8
TBA - TO BE ASSIGNED,81359,2022-08-04 13:25:00,60.9,964.7
STARLINK-4218,53025,2022-08-04 12:47:00,60.8,352.5
STARLINK-4289,53024,2022-08-04 12:48:00,60.8,352.7
TBA - TO BE ASSIGNED,81535,2022-08-04 20:52:00,60.7,770.1
TBA - TO BE ASSIGNED,87423,2022-08-04 02:19:00,60.7,506.2
TBA - TO BE ASSIGNED,270278,2022-08-04 22:28:00,60.7,869.4
STARLINK-4143,53029,2022-08-04 12:47:00,60.7,352.3
TBA - TO BE ASSIGNED,81674,2022-08-04 09:41:00,60.7,863.0
TBA - TO BE ASSIGNED,82043,2022-08-04 02:14:00,60.7,906.2
STARLINK-4312,53065,2022-08-04 09:45:00,60.6,418.6
STARLINK-4266,52869,2022-08-04 07:41:00,60.6,351.8
TBA - TO BE ASSIGNED,270086,2022-08-04 21:50:00,60.6,786.0
TBA - TO BE ASSIGNED,81564,2022-08-04 04:55:00,60.6,793.4
STARLINK-4300,53173,2022-08-04 03:07:00,60.4,354.5
ICEYE-X20,52759,2022-08-04 17:15:00,60.4,525.6
STARLINK-3967,52636,2022-08-04 23:08:00,60.4,544.1
TBA - TO BE ASSIGNED,87727,2022-08-04 07:07:00,60.4,633.5
STARLINK-4338,53055,2022-08-04 09:47:00,60.4,418.5
STARLINK-4305,53060,2022-08-04 09:46:00,60.4,417.6
STARLINK-4272,52866,2022-08-04 07:42:00,60.3,352.1
STARLINK-4002,52612,2022-08-04 09:18:00,60.3,546.3
TBA - TO BE ASSIGNED,89135,2022-08-04 21:35:00,60.2,815.2
STARLINK-4206,52847,2022-08-04 16:58:00,60.2,458.9
NACHOS-2,52945,2022-08-04 17:04:00,60.2,496.9
TBA - TO BE ASSIGNED,87456,2022-08-04 21:47:00,60.2,1125.0
STARLINK-4160,53030,2022-08-04 12:47:00,60.2,353.0
COSMOS 1408 DEB,52822,2022-08-04 22:06:00,60.1,511.5
TBA - TO BE ASSIGNED,81279,2022-08-04 18:48:00,60.1,709.2
STARLINK-4257,53184,2022-08-04 03:06:00,60.1,354.8
STARLINK-4191,52860,2022-08-04 07:43:00,60.1,351.8
STARLINK-3995,52632,2022-08-04 23:08:00,60.1,548.6
STARLINK-4192,52881,2022-08-04 07:39:00,60.1,352.5
STARLINK-4328,53071,2022-08-04 21:32:00,60.1,417.7
STARLINK-3995,52632,2022-08-04 23:07:00,60.0,548.8
TBA - TO BE ASSIGNED,87426,2022-08-04 20:23:00,59.9,908.6
STARLINK-3972,52669,2022-08-04 01:38:00,59.9,545.1
TBA - TO BE ASSIGNED,82303,2022-08-04 13:44:00,59.9,1178.3
COSMOS 1408 DEB,52824,2022-08-04 22:33:00,59.9,523.2
TBA - TO BE ASSIGNED,270036,2022-08-04 03:13:00,59.9,1077.0
TBA - TO BE ASSIGNED,87706,2022-08-04 06:38:00,59.8,734.8
STARLINK-4292,53175,2022-08-04 03:06:00,59.8,354.6
TBA - TO BE ASSIGNED,82755,2022-08-04 08:21:00,59.8,636.6
STARLINK-4177,53013,2022-08-04 12:49:00,59.8,352.4
STARLINK-4348,53075,2022-08-04 21:32:00,59.7,417.6
STARLINK-4168,52845,2022-08-04 17:00:00,59.7,460.1
STARLINK-4306,53067,2022-08-04 09:44:00,59.7,418.3
STARLINK-4012,52602,2022-08-04 23:44:00,59.7,543.5
STARLINK-4095,53170,2022-08-04 03:08:00,59.6,354.3
H-2A DEB,53117,2022-08-04 17:58:00,59.6,565.2
TBA - TO BE ASSIGNED,87843,2022-08-04 22:43:00,59.6,1088.6
STARLINK-4287,53020,2022-08-04 12:49:00,59.6,352.9
STARLINK-4101,53142,2022-08-04 03:13:00,59.6,356.7
TBA - TO BE ASSIGNED,81499,2022-08-04 04:30:00,59.6,777.1
H-2A DEB,53121,2022-08-04 06:29:00,59.5,478.3
TBA - TO BE ASSIGNED,81824,2022-08-04 21:48:00,59.4,847.2
TBA - TO BE ASSIGNED,270182,2022-08-04 03:53:00,59.4,897.1
STARLINK-4268,53183,2022-08-04 17:52:00,59.3,352.4
TBA - TO BE ASSIGNED,87204,2022-08-04 13:35:00,59.3,857.0
TBA - TO BE ASSIGNED,87650,2022-08-04 02:52:00,59.2,826.7
STARLINK-4311,53062,2022-08-04 21:35:00,59.2,417.6
STARLINK-4150,53134,2022-08-04 03:14:00,59.0,354.7
COSMOS 1408 DEB,52813,2022-08-04 09:55:00,59.0,342.3
STARLINK-4145,53137,2022-08-04 03:14:00,59.0,355.9
STARLINK-4330,53080,2022-08-04 21:31:00,59.0,417.9
COSMOS 1408 DEB,52921,2022-08-04 10:16:00,58.9,578.2
STARLINK-4328,53071,2022-08-04 21:33:00,58.9,420.4
STARLINK-4210,52874,2022-08-04 07:40:00,58.8,352.0
TBA - TO BE ASSIGNED,270285,2022-08-04 09:42:00,58.8,1186.8
STARLINK-3683,53167,2022-08-04 03:08:00,58.8,354.9
STARLINK-4199,52857,2022-08-04 07:42:00,58.8,352.4
TBA - TO BE ASSIGNED,82820,2022-08-04 09:01:00,58.8,861.1
TBA - TO BE ASSIGNED,87203,2022-08-04 05:00:00,58.8,705.9
STARLINK-4346,53073,2022-08-04 09:43:00,58.7,418.3
OBJECT H,52951,2022-08-04 01:45:00,58.7,498.6
TBA - TO BE ASSIGNED,270181,2022-08-04 06:45:00,58.6,804.7
STARLINK-4094,53147,2022-08-04 03:11:00,58.6,354.4
TBA - TO BE ASSIGNED,85292,2022-08-04 16:35:00,58.6,759.5
STARLINK-4156,53038,2022-08-04 12:46:00,58.6,352.2
STARLINK-4028,52677,2022-08-04 14:54:00,58.5,543.3
STARLINK-4325,53068,2022-08-04 21:34:00,58.5,418.4
STARLINK-4308,53061,2022-08-04 09:45:00,58.5,418.3
STARLINK-4052,53171,2022-08-04 17:52:00,58.5,353.0
COSMOS 1408 DEB,52571,2022-08-04 22:28:00,58.5,488.4
STARLINK-4004,52656,2022-08-04 01:05:00,58.4,543.9
STARLINK-4150,53134,2022-08-04 03:13:00,58.4,354.4
TBA - TO BE ASSIGNED,85151,2022-08-04 22:11:00,58.4,763.0
STARLINK-4309,53066,2022-08-04 21:34:00,58.4,418.4
TBA - TO BE ASSIGNED,270034,2022-08-04 11:44:00,58.3,914.1
TBA - TO BE ASSIGNED,89261,2022-08-04 23:53:00,58.2,770.4
STARLINK-4021,53149,2022-08-04 03:09:00,58.2,354.5
STARLINK-4320,53059,2022-08-04 21:35:00,58.2,417.2
TBA - TO BE ASSIGNED,89493,2022-08-04 11:44:00,58.2,928.3
STARLINK-4323,53069,2022-08-04 09:44:00,58.2,418.0
TBA - TO BE ASSIGNED,270168,2022-08-04 05:40:00,58.2,846.4
TBA - TO BE ASSIGNED,270139,2022-08-04 20:23:00,58.2,661.5
STARLINK-4347,53076,2022-08-04 09:43:00,58.2,417.7
H-2A DEB,53345,2022-08-04 06:49:00,58.2,503.8
TBA - TO BE ASSIGNED,270102,2022-08-04 20:09:00,58.1,820.9
STARLINK-4278,53182,2022-08-04 03:07:00,58.1,354.8
TBA - TO BE ASSIGNED,89381,2022-08-04 09:59:00,58.1,644.1
TBA - TO BE ASSIGNED,270162,2022-08-04 21:10:00,58.1,688.6
TBA - TO BE ASSIGNED,82448,2022-08-04 15:37:00,58.1,622.8
TBA - TO BE ASSIGNED,87898,2022-08-04 13:33:00,58.1,795.0
STARLINK-4105,53168,2022-08-04 03:09:00,58.0,354.5
STARLINK-4024,52599,2022-08-04 00:05:00,58.0,543.8
OBJECT E,53320,2022-08-04 04:23:00,58.0,491.9
STARLINK-4276,53179,2022-08-04 03:06:00,58.0,354.6
TBA - TO BE ASSIGNED,85027,2022-08-04 10:23:00,58.0,1009.7
TBA - TO BE ASSIGNED,85106,2022-08-04 11:17:00,57.9,1008.4
GAOFEN 12 (03),52912,2022-08-04 14:08:00,57.9,687.2
TBA - TO BE ASSIGNED,89067,2022-08-04 20:42:00,57.8,430.4
STARLINK-4292,53175,2022-08-04 17:52:00,57.8,352.5
TBA - TO BE ASSIGNED,81844,2022-08-04 20:01:00,57.8,856.8
STARLINK-4100,53144,2022-08-04 03:12:00,57.8,354.2
STARLINK-3962,52708,2022-08-04 14:55:00,57.7,420.4
OBJECT C,53318,2022-08-04 04:25:00,57.7,494.0
STARLINK-4271,53012,2022-08-04 12:50:00,57.7,352.1
STARLINK-4262,53015,2022-08-04 12:49:00,57.6,352.0
TBA - TO BE ASSIGNED,89218,2022-08-04 21:41:00,57.6,971.7
STARLINK-4284,53023,2022-08-04 12:48:00,57.5,352.3
TBA - TO BE ASSIGNED,81509,2022-08-04 10:49:00,57.5,656.2
STARLINK-4030,52698,2022-08-04 15:46:00,57.5,542.5
COSMOS 2251 DEB,53093,2022-08-04 21:41:00,57.5,774.1
GLOBALSTAR FM15,52888,2022-08-04 11:04:00,57.5,1121.8
TBA - TO BE ASSIGNED,81371,2022-08-04 20:55:00,57.5,647.0
STARLINK-4183,53014,2022-08-04 12:50:00,57.5,352.4
STARLINK-3994,52633,2022-08-04 09:12:00,57.4,544.5
STARLINK-4111,53159,2022-08-04 03:10:00,57.4,356.2
TBA - TO BE ASSIGNED,81357,2022-08-04 13:59:00,57.4,510.4
STARLINK-4330,53080,2022-08-04 21:32:00,57.4,417.3
OBJECT AL,52766,2022-08-04 16:50:00,57.4,524.0
CZ-2C R/B,52794,2022-08-04 03:17:00,57.4,590.0
STARLINK-4151,53034,2022-08-04 12:47:00,57.4,352.6
STARLINK-3809,52851,2022-08-04 07:44:00,57.4,351.7
TBA - TO BE ASSIGNED,270202,2022-08-04 18:23:00,57.4,940.4
STARLINK-4313,53064,2022-08-04 09:46:00,57.3,418.7
STARLINK-3941,52638,2022-08-04 23:03:00,57.3,543.9
TBA - TO BE ASSIGNED,85015,2022-08-04 10:43:00,57.2,693.9
RECURVE,52944,2022-08-04 17:08:00,57.1,497.1
STARLINK-3809,52851,2022-08-04 07:43:00,57.1,351.9
TBA - TO BE ASSIGNED,81341,2022-08-04 15:49:00,57.1,978.0
STARLINK-4337,53053,2022-08-04 21:36:00,56.9,416.1
STARLINK-4310,53074,2022-08-04 21:33:00,56.9,417.3
CONNECTA T1-1,52739,2022-08-04 16:50:00,56.9,529.2
STARLINK-4300,53173,2022-08-04 17:53:00,56.9,352.8
STARLINK-3919,52580,2022-08-04 00:21:00,56.9,544.6
STARLINK-4009,52624,2022-08-04 08:39:00,56.8,543.5
TBA - TO BE ASSIGNED,89453,2022-08-04 08:58:00,56.8,637.0
STARLINK-4322,53078,2022-08-04 09:43:00,56.8,418.4
MINOTAUR 4 DEB,52977,2022-08-04 13:51:00,56.7,464.1
COSMOS 1408 DEB,52814,2022-08-04 09:56:00,56.7,540.6
STARLINK-4007,52707,2022-08-04 14:55:00,56.7,420.5
TBA - TO BE ASSIGNED,82112,2022-08-04 16:12:00,56.7,696.7
STARLINK-4112,52861,2022-08-04 07:41:00,56.6,352.6
STARLINK-4327,53079,2022-08-04 09:42:00,56.5,417.8
TBA - TO BE ASSIGNED,81626,2022-08-04 13:38:00,56.5,648.5
STARLINK-4054,53158,2022-08-04 03:11:00,56.5,354.9
TBA - TO BE ASSIGNED,87624,2022-08-04 23:55:00,56.4,645.7
COSMOS 1408 DEB,53094,2022-08-04 22:45:00,56.4,493.4
STARLINK-4167,53033,2022-08-04 12:46:00,56.4,352.5
MINOTAUR 4 DEB,52975,2022-08-04 16:34:00,56.4,575.3
TBA - TO BE ASSIGNED,87305,2022-08-04 11:31:00,56.3,654.7
STARLINK-3975,52620,2022-08-04 10:11:00,56.3,544.5
STARLINK-4282,53019,2022-08-04 12:48:00,56.2,352.5
TBA - TO BE ASSIGNED,270084,2022-08-04 17:16:00,56.2,704.5
OBJECT B,53317,2022-08-04 04:26:00,56.2,495.4
CZ-2D R/B,52910,2022-08-04 23:12:00,56.2,492.1
STARLINK-4317,53058,2022-08-04 21:36:00,56.1,417.6
TBA - TO BE ASSIGNED,270220,2022-08-04 15:58:00,56.1,800.4
TBA - TO BE ASSIGNED,82484,2022-08-04 12:58:00,56.0,1029.6
STARLINK-4315,53077,2022-08-04 09:42:00,56.0,417.6
STARLINK-4342,53070,2022-08-04 21:34:00,56.0,417.6
STARLINK-3836,52577,2022-08-04 14:12:00,56.0,543.5
TBA - TO BE ASSIGNED,87235,2022-08-04 08:12:00,55.9,702.6
STARLINK-4268,53183,2022-08-04 03:06:00,55.9,354.8
STARLINK-3959,52564,2022-08-04 23:23:00,55.9,544.3
TBA - TO BE ASSIGNED,87878,2022-08-04 23:35:00,55.8,790.9
TBA - TO BE ASSIGNED,81497,2022-08-04 18:04:00,55.8,1028.1
TBA - TO BE ASSIGNED,270168,2022-08-04 18:05:00,55.8,833.3
STARLINK-3911,52565,2022-08-04 13:47:00,55.8,542.5
TBA - TO BE ASSIGNED,87730,2022-08-04 23:02:00,55.7,1010.3
STARLINK-4026,52600,2022-08-04 09:53:00,55.7,544.6
STARLINK-3936,52674,2022-08-04 15:29:00,55.7,543.1
STARLINK-4290,53006,2022-08-04 12:51:00,55.6,352.3
STARLINK-4171,52878,2022-08-04 07:40:00,55.5,352.1
STARLINK-4325,53068,2022-08-04 09:45:00,55.5,418.7
COSMOS 1408 DEB,52932,2022-08-04 21:38:00,55.5,459.3
TBA - TO BE ASSIGNED,82500,2022-08-04 22:26:00,55.5,951.7
STARLINK-4273,53181,2022-08-04 17:52:00,55.5,352.8
STARLINK-4279,53018,2022-08-04 12:49:00,55.5,352.8
TBA - TO BE ASSIGNED,81418,2022-08-04 18:20:00,55.5,1103.9
TBA - TO BE ASSIGNED,89184,2022-08-04 22:10:00,55.5,760.0
TBA - TO BE ASSIGNED,81794,2022-08-04 03:22:00,55.5,615.3
STARLINK-4313,53064,2022-08-04 21:35:00,55.4,417.5
STARLINK-3924,52570,2022-08-04 13:14:00,55.4,543.1
STARLINK-4342,53070,2022-08-04 21:33:00,55.4,417.7
TBA - TO BE ASSIGNED,82043,2022-08-04 14:39:00,55.3,641.1
STARLINK-3924,52570,2022-08-04 13:13:00,55.2,543.7
TBA - TO BE ASSIGNED,270066,2022-08-04 22:12:00,55.2,695.7
TBA - TO BE ASSIGNED,85370,2022-08-04 17:10:00,55.2,949.6
STARLINK-4215,53007,2022-08-04 12:50:00,55.2,352.6
STARLINK-3911,52565,2022-08-04 13:46:00,55.1,542.5
TBA - TO BE ASSIGNED,85023,2022-08-04 08:47:00,55.1,803.5
OBJECT B,52717,2022-08-04 14:04:00,55.1,1047.9
STARLINK-3984,52621,2022-08-04 00:01:00,55.1,543.1
STARLINK-4003,52701,2022-08-04 14:56:00,55.1,420.5
CZ-2D DEB,52911,2022-08-04 23:11:00,55.0,492.0
STARLINK-4342,53070,2022-08-04 09:44:00,55.0,417.9
STARLINK-4091,52830,2022-08-04 17:28:00,55.0,472.3
STARLINK-4095,53170,2022-08-04 17:54:00,55.0,352.9
ARMSAT1 URDANETA,52765,2022-08-04 16:49:00,55.0,524.3
TBA - TO BE ASSIGNED,270096,2022-08-04 22:05:00,55.0,800.6
NUSAT-30 (MARGHERITA),52748,2022-08-04 16:50:00,55.0,499.0
TBA - TO BE ASSIGNED,270039,2022-08-04 16:17:00,55.0,907.1
STARLINK-4277,53009,2022-08-04 12:50:00,54.9,352.4
TBA - TO BE ASSIGNED,270069,2022-08-04 17:01:00,54.9,976.3
TBA - TO BE ASSIGNED,89261,2022-08-04 00:32:00,54.9,770.9
STARLINK-4029,52685,2022-08-04 00:24:00,54.9,544.2
STARLINK-4294,53176,2022-08-04 17:53:00,54.9,352.7
STARLINK-4308,53061,2022-08-04 21:34:00,54.8,418.0
CZ-2C DEB,53129,2022-08-04 10:10:00,54.8,504.5
TBA - TO BE ASSIGNED,87113,2022-08-04 00:34:00,54.8,827.3
STARLINK-4255,53003,2022-08-04 12:51:00,54.8,351.7
STARLINK-4213,52872,2022-08-04 07:41:00,54.8,352.1
ICEYE-X19,52758,2022-08-04 17:16:00,54.7,525.8
STARLINK-4314,53056,2022-08-04 21:37:00,54.7,422.2
TBA - TO BE ASSIGNED,89460,2022-08-04 19:15:00,54.7,1108.9
STARLINK-4108,52834,2022-08-04 17:26:00,54.7,471.5
STARLINK-4258,53180,2022-08-04 17:53:00,54.7,352.5
