OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SCD 1,1993-009B,2026-04-22T12:49:28.295328,14.46094613,.00416736,24.9685,191.1926,269.0846,112.4601,0,U,22490,999,75305,.50865142E-4,.372E-5,0
TECHSAT 1B (GO-32),1998-043D,2026-04-22T17:06:16.872192,14.24416894,.0001908,99.0062,104.0772,49.6266,310.5078,0,U,25397,999,44343,.32958E-4,.3E-6,0
SCD 2,1998-060A,2026-04-22T12:56:21.234624,14.45503722,.00165242,24.9958,55.3315,254.7569,266.3992,0,U,25504,999,45226,.39689296E-4,.324E-5,0
DLR-TUBSAT,1999-029B,2026-04-22T11:48:27.351072,14.52411684,.0014665,98.6693,106.1678,155.2424,204.9477,0,U,25757,999,42516,.19807E-4,.32E-6,0
TERRA,1999-068A,2026-04-22T19:40:36.850080,14.61057314,.0003353,97.9508,164.5486,62.9945,358.2605,0,U,25994,999,40152,.58434E-4,.243E-5,0
MAROC-TUBSAT,2001-056D,2026-04-22T08:47:15.770400,13.70260027,.00190663,99.8057,288.1774,286.5679,148.5271,0,U,27004,999,21854,.14479119E-4,-.34E-6,0
AQUA,2002-022A,2026-04-22T21:20:40.474176,14.62068111,.0001984,98.4240,81.0844,99.4747,287.3028,0,U,27424,999,27519,.12921E-3,.599E-5,0
SHIYAN-1 (SY-1),2004-012A,2026-04-22T13:42:45.419328,15.32299669,.0005539,97.8701,187.0892,202.1957,157.9044,0,U,28220,999,20257,.30615E-3,.9468E-4,0
AURA,2004-026A,2026-04-22T20:45:33.065856,14.61239791,.0001683,98.3377,68.8781,87.0292,273.1101,0,U,28376,999,15813,.13309E-3,.608E-5,0
IRS-P5 (CARTOSAT-1),2005-017A,2026-04-22T18:40:25.808736,14.90901442,.0000849,97.5356,138.3505,126.3361,233.7936,0,U,28649,999,13556,.83805E-4,.774E-5,0
