OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-37382,2026-094N,2026-05-20T14:00:01.999872,15.57974813,.00015569,97.2854,155.2179,87.5101,320.9404,0,U,68851,999,493,-.3111849E-1,-.2036473E-1,0
STARLINK-37423,2026-094P,2026-05-20T14:00:01.999872,15.54371814,.00013571,97.2853,155.2025,102.7003,260.3444,0,U,68852,999,493,-.32197881E-1,-.186472E-1,0
STARLINK-37476,2026-094Q,2026-05-20T14:00:01.999872,15.54375873,.00013788,97.2858,155.2023,111.0741,250.1426,0,U,68853,999,493,-.32087286E-1,-.1859307E-1,0
STARLINK-37463,2026-094R,2026-05-20T14:00:01.999872,15.64466184,.00016445,97.2850,155.2635,79.3390,67.5691,0,U,68854,999,493,-.22497786E-1,-.1910271E-1,0
STARLINK-37467,2026-094S,2026-05-20T14:00:01.999872,15.66647906,.00017783,97.2839,155.2734,84.0584,86.7988,0,U,68855,999,493,-.2063938E-1,-.1912726E-1,0
STARLINK-37483,2026-094T,2026-05-20T14:00:01.999872,15.66606044,.00017124,97.2838,155.2746,82.0994,90.4376,0,U,68856,999,493,-.20663569E-1,-.1911786E-1,0
STARLINK-37468,2026-094U,2026-05-20T14:00:01.999872,15.66562287,.00017381,97.2839,155.2746,84.9778,89.2262,0,U,68857,999,493,-.20753705E-1,-.1916185E-1,0
STARLINK-37441,2026-094V,2026-05-20T14:00:01.999872,15.63637442,.00014574,97.2847,155.2681,90.0327,71.2405,0,U,68858,999,493,-.2280438E-1,-.1877683E-1,0
STARLINK-37488,2026-094W,2026-05-20T14:00:01.999872,15.60775854,.00014677,97.2850,155.2570,82.2585,50.7875,0,U,68859,999,493,-.26818316E-1,-.1963219E-1,0
STARLINK-37388,2026-094X,2026-05-20T14:00:01.999872,15.53341125,.00014733,97.2853,155.2114,105.4317,278.8934,0,U,68860,999,493,-.33176969E-1,-.185207E-1,0
STARLINK-37479,2026-094Y,2026-05-20T14:00:01.999872,15.63925188,.00018817,97.2848,155.2795,92.0044,93.7783,0,U,68861,999,493,-.23065628E-1,-.1916291E-1,0
STARLINK-37453,2026-094Z,2026-05-20T14:00:01.999872,15.59847060,.00017464,97.2848,155.2499,82.6575,41.9001,0,U,68862,999,493,-.28924694E-1,-.203336E-1,0
STARLINK-37430,2026-094AA,2026-05-20T14:00:01.999872,15.58237175,.00015533,97.2853,155.2453,82.1757,30.2081,0,U,68863,999,493,-.30132002E-1,-.1997114E-1,0
KUIPER-00299,2026-095A,2026-05-20T14:00:01.999872,15.27844758,.00095279,51.8781,16.2687,202.0268,259.3256,0,U,68864,999,419,.17984269E-2,.4963E-3,0
KUIPER-00353,2026-095B,2026-05-20T09:06:14.688288,15.38734156,.00011062,51.8846,16.6618,145.1334,214.9726,0,U,68865,999,345,.52678574E-3,.20145E-3,0
KUIPER-00357,2026-095C,2026-05-20T09:16:18.589728,15.38296792,.0003371,51.8848,16.7115,180.4322,179.6662,0,U,68866,999,345,.50392705E-3,.18975E-3,0
KUIPER-00364,2026-095D,2026-05-20T09:20:50.574336,15.38069808,.00036884,51.8829,16.7309,174.6552,185.4476,0,U,68867,999,345,.77578075E-3,.29248E-3,0
KUIPER-00375,2026-095E,2026-05-20T09:08:28.608288,15.38624716,.00016209,51.8856,16.6742,164.0511,196.0528,0,U,68868,999,345,.62608622E-3,.23943E-3,0
