name	norad_id	country	epoch	inclination	mean_motion	eccentricity	altitude_km	period_min	rcs_size	object_type	line1	line2	launch_date_x	decay_date_x	launch_date_y	decay_date_y	launch_date	decay_date	sat_name	purpose	detailed_purpose	users	operator	orbit_type	sensor	source	filter_source	commercial_source
JILIN-01 GAOFEN 3F	46458	PRC	2026-05-20T14:10:39.063360	97.223	15.58045745	0.00117938	400.4	92.42	MEDIUM	PAYLOAD	1 46458U 20065E   26140.59072990  .00033002  00000-0  43878-3 0  9995	2 46458  97.2230 190.0838 0011794 241.6991 118.3075 15.58045745315407	2020-09-15		2020-09-15		2020-09-15		Jilin-1 Gaofen 03B-05 	Earth Observation	Optical Imaging	Commercial	Chang Guang Satellite Technology Co. Ltd.	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
JILIN-01 GAOFEN 3G	46459	PRC	2026-05-20T14:10:34.939488	97.2305	15.66332801	0.00126571	376.5	91.93	MEDIUM	PAYLOAD	1 46459U 20065F   26140.59068217  .00054735  00000-0  52587-3 0  9996	2 46459  97.2305 196.4722 0012657 148.3981 211.8043 15.66332801315612	2020-09-15		2020-09-15		2020-09-15		Jilin-1 Gaofen 03B-06 	Earth Observation	Optical Imaging	Commercial	Chang Guang Satellite Technology Co. Ltd.	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
ICEYE-X6	46497	FIN	2026-05-20T14:08:29.427072	98.0971	15.0435588	0.00072802	560.6	95.72	MEDIUM	PAYLOAD	1 46497U 20068M   26140.58922948  .00002200  00000-0  16249-3 0  9995	2 46497  98.0971 132.9468 0007280 171.4522 188.6828 15.04355880309088	2020-09-28		2020-09-28		2020-09-28		ICEYE-X6 (ICEYE POC 6)	Earth Observation	Radar Imaging	Commercial	ICEYE Ltd.	Sun-Synchronous	SAR	UCS	UCS	UCS
WORLDVIEW 1	32060	US	2026-05-20T14:07:58.937376	97.3926	15.24577808	0.00037705	499.2	94.45	LARGE	PAYLOAD	1 32060U 07041A   26140.58887659  .00004173  00000-0  17223-3 0  9995	2 32060  97.3926 260.7272 0003771 131.8261 228.3299 15.24577808 38671	2007-09-18		2007-09-18		2007-09-18		Worldview 1	Earth Observation	Optical Imaging	Commercial	Maxar Technologies Inc.	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
JILIN-01 KUANFU 01C	52443	PRC	2026-05-20T14:07:57.510048	97.5255	15.10064382	0.00166795	543.1	95.36	LARGE	PAYLOAD	1 52443U 22048A   26140.58886007  .00001564  00000-0  99720-4 0  9996	2 52443  97.5255 218.2646 0016679  63.3118 296.9817 15.10064382223035	2022-05-05		2022-05-05		2022-05-05		Jilin-1 Kuanfu 01C	Earth Observation	Optical Imaging	Commercial	Chang Guang Satellite Technology Co. Ltd.	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
JILIN-01-05	43023	PRC	2026-05-20T14:05:34.661472	97.4841	15.33402053	0.00043441	472.8	93.91	MEDIUM	PAYLOAD	1 43023U 17074B   26140.58720673  .00005655  00000-0  17767-3 0  9994	2 43023  97.4841 246.3822 0004344 340.9713  19.1366 15.33402053469771	2017-11-21		2017-11-21		2017-11-21		Jilin-1-5 (Shipin 5)	Earth Observation	Optical Imaging	Commercial	Chang Guang Satellite Technology Co. Ltd.	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
JILIN-01 GAOFEN 3D 31	52448	PRC	2026-05-20T14:05:23.902080	97.5663	15.73506865	0.00033763	356	91.52	MEDIUM	PAYLOAD	1 52448U 22048F   26140.58708220  .00088490  00000-0  63187-3 0  9991	2 52448  97.5663 253.3059 0003376 185.3570 174.7658 15.73506865225234	2022-05-05		2022-05-05		2022-05-05		Jilin-1 GaoFen 03D-31	Earth Observation	Optical Imaging	Commercial	Chang Guang Satellite Technology Co. Ltd.	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
JILIN-01 GAOFEN 3D 29	52446	PRC	2026-05-20T14:05:09.473280	97.5686	15.69490678	0.00029219	367.5	91.75	MEDIUM	PAYLOAD	1 52446U 22048D   26140.58691520  .00070693  00000-0  59858-3 0  9999	2 52446  97.5686 252.5163 0002922 146.2946 213.8502 15.69490678225167	2022-05-05		2022-05-05		2022-05-05		Jilin-1 GaoFen 03D-29	Earth Observation	Optical Imaging	Commercial	Chang Guang Satellite Technology Co. Ltd.	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
ICEYE-X5	44389	FIN	2026-05-20T14:02:56.792256	97.8707	15.52875583	0.00042526	415.5	92.73	LARGE	PAYLOAD	1 44389U 19038C   26140.58537954  .00029560  00000-0  47668-3 0  9994	2 44389  97.8707 192.5734 0004253   8.4859 351.6464 15.52875583378676	2019-07-05		2019-07-05		2019-07-05		ICEYE-X5 (ICEYE POC 5)	Earth Observation	Radar Imaging	Commercial	ICEYE Ltd.	Sun-Synchronous	SAR	UCS	UCS	UCS
JILIN-01-10	43946	PRC	2026-05-20T13:52:22.090944	97.4767	15.25384911	0.00085113	496.8	94.4	MEDIUM	PAYLOAD	1 43946U 19005E   26140.57803346  .00003910  00000-0  15771-3 0  9997	2 43946  97.4767 239.3926 0008511  27.2576 332.9107 15.25384911405100	2019-01-21		2019-01-21		2019-01-21		Jilin-1-10 (Guanpu 2)	Earth Observation	Multispectral Imaging	Commercial	Chang Guang Satellite Technology Co. Ltd.	Sun-Synchronous	OPT_MR	UCS	UCS	UCS
JILIN-01 GAOFEN 3D 28	52445	PRC	2026-05-20T13:50:11.739264	97.5625	15.71479104	0.00041972	361.8	91.63	MEDIUM	PAYLOAD	1 52445U 22048C   26140.57652476  .00076167  00000-0  59334-3 0  9995	2 52445  97.5625 252.2135 0004197 166.9458 193.1914 15.71479104225181	2022-05-05		2022-05-05		2022-05-05		Jilin-1 GaoFen 03D-28	Earth Observation	Optical Imaging	Commercial	Chang Guang Satellite Technology Co. Ltd.	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
ION SCV-004	50993	IT	2026-05-20T13:48:18.254592	97.2849	15.30142227	0.00092174	482.5	94.11	MEDIUM	PAYLOAD	1 50993U 22002K   26140.57521128  .00003685  00000-0  12879-3 0  9998	2 50993  97.2849 198.7562 0009217  93.4779 266.7516 15.30142227241077	2022-01-13		2022-01-13		2022-01-13		Dove 4x-44 (0 Flock 4x-44 247b)	Earth Observation	Optical Imaging	Commercial	"Planet Labs, Inc."	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
PAZ	43215	SPN	2026-05-20T13:46:38.593920	97.4454	15.19154349	0.00016355	515.5	94.79	LARGE	PAYLOAD	1 43215U 18020A   26140.57405780  .00001139  00000-0  57407-4 0  9996	2 43215  97.4454 148.3525 0001635  88.8767 271.2655 15.19154349456811	2018-02-22		2018-02-22		2018-02-22		Paz	Earth Observation	Radar Imaging	Military/Commercial	Hisdesat	Sun-Synchronous	SAR	UCS	UCS	UCS
JILIN-01 GAOFEN 3H	46460	PRC	2026-05-20T13:46:13.195776	97.225	15.63753096	0.00085807	384	92.09	MEDIUM	PAYLOAD	1 46460U 20065G   26140.57376384  .00046482  00000-0  49634-3 0  9992	2 46460  97.2250 192.9303 0008581  98.2806 261.9427 15.63753096315565	2020-09-15		2020-09-15		2020-09-15		Jilin-1 Gaofen 03C-01 	Earth Observation	Video Imaging	Commercial	Chang Guang Satellite Technology Co. Ltd.	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
JILIN-01-07	43159	PRC	2026-05-20T13:46:07.379328	97.1785	15.34212205	0.00094407	470.4	93.86	MEDIUM	PAYLOAD	1 43159U 18008E   26140.57369652  .00005979  00000-0  18263-3 0  9998	2 43159  97.1785 161.2475 0009441 146.4566 213.7277 15.34212205460764	2018-01-19		2018-01-19		2018-01-19		Jilin-1-7 (Shipin 7)	Earth Observation	Optical Imaging	Commercial	Chang Guang Satellite Technology Co. Ltd.	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
JILIN-01 GAOFEN 2B	44836	PRC	2026-05-20T13:46:05.221056	97.4885	15.20359686	0.00153798	511.9	94.71	LARGE	PAYLOAD	1 44836U 19086A   26140.57367154  .00003965  00000-0  18485-3 0  9992	2 44836  97.4885 212.7437 0015380  60.7992 299.4779 15.20359686356291	2019-12-07		2019-12-07		2019-12-07		Jilin-1 Gaofen 02B	Earth Observation	Optical Imaging	Commercial	Chang Guang Satellite Technology Co. Ltd.	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
ZHUHAI-1 03E	44539	PRC	2026-05-20T13:46:02.984160	97.5588	15.40072033	0.00072549	453	93.5	MEDIUM	PAYLOAD	1 44539U 19060F   26140.57364565  .00012381  00000-0  31139-3 0  9990	2 44539  97.5588 289.5900 0007255 119.5229 240.6741 15.40072033371516	2019-09-19		2019-09-19		2019-09-19		Zhuhai 1 (OHS 8)	Earth Observation	Hyperspectral Imaging	Commercial	Zhuhai Orbita Control Engineering Co. Ltd.	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
JILIN-01-04	43022	PRC	2026-05-20T13:44:38.590368	97.4834	15.41670456	0.00025698	448.3	93.41	MEDIUM	PAYLOAD	1 43022U 17074A   26140.57266887  .00009459  00000-0  22643-3 0  9999	2 43022  97.4834 249.4698 0002570 300.1227  59.9765 15.41670456470011	2017-11-21		2017-11-21		2017-11-21		Jilin-1-4 (Shipin 4)	Earth Observation	Optical Imaging	Commercial	Chang Guang Satellite Technology Co. Ltd.	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
DMC 3-FM3	40717	UK	2026-05-20T13:41:11.196672	97.6597	14.85695915	0.00060312	618.5	96.92	LARGE	PAYLOAD	1 40717U 15032C   26140.57026848 -.00000173  00000-0 -13976-4 0  9996	2 40717  97.6597  10.1137 0006031 136.7260 223.4431 14.85695915585811	2015-07-10		2015-07-10		2015-07-10		DMC 3-3 (Disaster Monitoring Constellation)	Earth Observation	Optical Imaging	Commercial	Surrey Satellite Technology Ltd.	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
GLOBAL-14	49469	US	2026-05-20T13:40:42.704544	42.0043	15.49144189	0.00158363	426.4	92.95	MEDIUM	PAYLOAD	1 49469U 21106A   26140.56993871  .00017645  00000-0  31958-3 0  9995	2 49469  42.0043  95.0276 0015836 197.9266 162.1021 15.49144189253840	2021-11-18		2021-11-18		2021-11-18		BlackSky Global 14	Earth Observation	Optical Imaging	Commercial	BlackSky Global	Non-Polar Inclined	OPT_HR	UCS	UCS	UCS
JILIN-01 GAOFEN 2A	44777	PRC	2026-05-20T13:33:54.536256	97.496	15.38485318	0.00069593	457.7	93.6	LARGE	PAYLOAD	1 44777U 19075A   26140.56521454  .00010749  00000-0  28504-3 0  9999	2 44777  97.4960 223.7274 0006959 169.6177 190.5213 15.38485318360634	2019-11-13		2019-11-13		2019-11-13		Jilin-1 Gaofen 02A	Earth Observation	Multispectral Imaging	Commercial	Chang Guang Satellite Technology Co. Ltd.	Sun-Synchronous	OPT_MR	UCS	UCS	UCS
JILIN-01-08	43160	PRC	2026-05-20T13:22:00.497280	97.1816	15.33320129	0.00068392	473.1	93.91	MEDIUM	PAYLOAD	1 43160U 18008F   26140.55695020  .00005778  00000-0  18169-3 0  9991	2 43160  97.1816 160.5746 0006839 156.3257 203.8302 15.33320129460717	2018-01-19		2018-01-19		2018-01-19		Jilin-1-8 (Shipin 8)	Earth Observation	Optical Imaging	Commercial	Chang Guang Satellite Technology Co. Ltd.	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
JILIN-01-06	43024	PRC	2026-05-20T13:21:43.689888	97.4769	15.33351533	0.00062977	473	93.91	MEDIUM	PAYLOAD	1 43024U 17074C   26140.55675567  .00004247  00000-0  13424-3 0  9995	2 43024  97.4769 243.3926 0006298 350.2245   9.8874 15.33351533469605	2017-11-21		2017-11-21		2017-11-21		Jilin-1-6 (Shipin 6)	Earth Observation	Optical Imaging	Commercial	Chang Guang Satellite Technology Co. Ltd.	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
SKYSAT C3	41774	US	2026-05-20T13:06:21.279168	96.9038	15.51277467	0.00027945	420.1	92.83	MEDIUM	PAYLOAD	1 41774U 16058E   26140.54607962  .00016238  00000-0  27826-3 0  9993	2 41774  96.9038 172.4772 0002794  85.9121 274.2452 15.51277467541829	2016-09-16		2016-09-16		2016-09-16		"SkySat-7 (SkySat C3, S103)"	Earth Observation	Optical Imaging	Commercial	"Planet Labs, Inc."	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
SKYSAT 1	39418	US	2026-05-20T13:04:01.643808	97.3831	15.1279913	0.00227589	534.8	95.19	MEDIUM	PAYLOAD	1 39418U 13066C   26140.54446347  .00002327  00000-0  13542-3 0  9993	2 39418  97.3831 190.8229 0022759  53.2860 307.0458 15.12799130684304	2013-11-21		2013-11-21		2013-11-21		SkySat-1 (S1)	Earth Observation	Optical Imaging	Commercial	"Planet Labs, Inc."	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
EOSSAT-1	55053	SAFR	2026-05-20T13:03:42.105312	97.325	15.33268967	0.0008736	473.2	93.92	MEDIUM	PAYLOAD	1 55053U 23001AW  26140.54423733  .00003616  00000-0  11482-3 0  9993	2 55053  97.3250 201.3930 0008736 205.3236 154.7580 15.33268967187689	2023-01-03		2023-01-03		2023-01-03		EOS Sat-1 (EOS Agrisat-1)	Earth Observation	Multispectral Imaging	Commercial	EOS Data Analytics	Sun-Synchronous	OPT_MR	UCS	UCS	UCS
JILIN-01 KUANFU 01	45016	PRC	2026-05-20T12:45:14.883264	97.5033	15.10549508	0.00107469	541.7	95.33	LARGE	PAYLOAD	1 45016U 20003A   26140.53142226  .00001827  00000-0  11450-3 0  9991	2 45016  97.5033 215.0289 0010747  45.6470 314.5638 15.10549508351150	2020-01-15		2020-01-15		2020-01-15		Jilin-1 Kuanfu-1	Earth Observation	Optical Imaging	Commercial	Chang Guang Satellite Technology Co. Ltd.	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
SKYSAT C1	41601	US	2026-05-20T12:42:50.772384	96.958	15.3578039	0.0004407	465.7	93.76	MEDIUM	PAYLOAD	1 41601U 16040C   26140.52975431  .00006408  00000-0  18618-3 0  9997	2 41601  96.9580 173.7565 0004407 112.6118 247.5594 15.35780390553628	2016-06-22		2016-06-22		2016-06-22		"SkySat-3 (SkySat Gen 2-1, Skysat C1, S3)"	Earth Observation	Optical Imaging	Commercial	"Planet Labs, Inc."	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
GLOBAL-16	49950	US	2026-05-20T12:21:24.044832	41.9943	15.48838046	0.0010146	427.3	92.97	MEDIUM	PAYLOAD	1 49950U 21120B   26140.51486163  .00017816  00000-0  32701-3 0  9999	2 49950  41.9943 217.2333 0010146  44.6669 315.4990 15.48838046250552	2021-12-09		2021-12-09		2021-12-09		BlackSky Global 16	Earth Observation	Optical Imaging	Commercial	BlackSky Global	Non-Polar Inclined	OPT_HR	UCS	UCS	UCS
TERRA SAR X	31698	GER	2026-05-20T11:04:06.028032	97.446	15.19150954	0.00018653	515.5	94.79	LARGE	PAYLOAD	1 31698U 07026A   26140.46118088  .00000196  00000-0  12516-4 0  9996	2 31698  97.4460 148.5621 0001865  92.2234 267.9214 15.19150954 49013	2007-06-15		2007-06-15		2007-06-15		TerraSAR-X?1 (Terra Synthetic Aperture Radar X-Band)	Earth Observation	Radar Imaging	Government/Commercial	German Aerospace Center (DLR)/Infoterra	Sun-Synchronous	SAR	UCS	UCS	UCS
PATHFINDER 1	41787	US	2026-05-20T10:57:16.313184	97.817	14.67626261	0.00270755	675.8	98.12	MEDIUM	PAYLOAD	1 41787U 16059E   26140.45643881  .00000336  00000-0  67056-4 0  9990	2 41787  97.8170 140.9851 0027075 296.1697  63.6724 14.67626261515640	2016-09-26		2016-09-26		2016-09-26		BlackSky Pathfinder 1	Earth Observation	Optical Imaging	Commercial	BlackSky Global	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
SKYSAT C6	42992	US	2026-05-20T10:11:48.445728	97.4541	15.33921135	0.00015485	471.3	93.88	MEDIUM	PAYLOAD	1 42992U 17068F   26140.42486627  .00006478  00000-0  19988-3 0  9993	2 42992  97.4541 277.7671 0001548 209.5123 150.6032 15.33921135478060	2017-10-31		2017-10-31		2017-10-31		"SkySat-8 (SkySat C6, S106)"	Earth Observation	Optical Imaging	Commercial	"Planet Labs, Inc."	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
WNISAT 1	39423	JPN	2026-05-20T10:01:10.195104	97.7169	14.58022953	0.01621754	706.7	98.76	MEDIUM	PAYLOAD	1 39423U 13066H   26140.41747911  .00000296  00000-0  63193-4 0  9997	2 39423  97.7169 291.5501 0162175 319.7579  39.1706 14.58022953662681	2013-11-21		2013-11-21		2013-11-21		WNISat-1 (Weather News Inc. Satellite 1)	Earth Observation	Optical Imaging	Commercial	"Weathernews, Inc."	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
GLOBAL-4	44499	US	2026-05-20T09:41:44.069856	45.0077	15.61539897	0.00043494	390.3	92.22	MEDIUM	PAYLOAD	1 44499U 19054E   26140.40398229  .00035010  00000-0  40106-3 0  9992	2 44499  45.0077  36.3718 0004349 168.2203 191.8796 15.61539897376017	2019-08-19		2019-08-19		2019-08-19		BlackSky Global 4	Earth Observation	Optical Imaging	Commercial	BlackSky Global	Non-Polar Inclined	OPT_HR	UCS	UCS	UCS
GLOBAL-18	52196	US	2026-05-20T09:16:05.907072	52.9826	15.45008646	0.00051235	438.5	93.2	MEDIUM	PAYLOAD	1 52196U 22034B   26140.38617948  .00016147  00000-0  34504-3 0  9991	2 52196  52.9826  29.3795 0005123 149.8314 210.2987 15.45008646232660	2022-04-02		2022-04-02		2022-04-02		BlackSky Global 18	Earth Observation	Optical Imaging	Commercial	BlackSky Global	Non-Polar Inclined	OPT_HR	UCS	UCS	UCS
SKYSAT C5	41772	US	2026-05-20T09:14:27.434400	97.0487	15.34025939	0.00041331	471	93.87	MEDIUM	PAYLOAD	1 41772U 16058C   26140.38503975  .00005424  00000-0  16700-3 0  9996	2 41772  97.0487 182.2715 0004133  57.8112 302.3532 15.34025939539487	2016-09-16		2016-09-16		2016-09-16		"SkySat-5 (SkySat C5, S105)"	Earth Observation	Optical Imaging	Commercial	"Planet Labs, Inc."	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
WNISAT 1R	42835	JPN	2026-05-20T08:56:18.333024	97.4808	15.01619846	0.00096546	569	95.9	MEDIUM	PAYLOAD	1 42835U 17042L   26140.37243441  .00001616  00000-0  12894-3 0  9998	2 42835  97.4808 297.4953 0009655 256.3189 103.6961 15.01619846482335	2017-07-14		2017-07-14		2017-07-14		WNISat-1R (Weather News Inc. Satellite 1R)	Earth Observation	Optical Imaging	Commercial	"Weathernews, Inc."	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
SKYSAT C11	42987	US	2026-05-20T08:37:57.064800	97.4331	15.56345995	0.00016517	405.4	92.52	MEDIUM	PAYLOAD	1 42987U 17068A   26140.35968825  .00019774  00000-0  28193-3 0  9995	2 42987  97.4331 288.0178 0001652 112.2847 247.8583 15.56345995478910	2017-10-31		2017-10-31		2017-10-31		"SkySat-13 (SkySat C11, S111)"	Earth Observation	Optical Imaging	Commercial	"Planet Labs, Inc."	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
GLOBAL-2	43812	US	2026-05-20T08:22:42.798144	97.3573	15.084888	0.00042379	548	95.46	MEDIUM	PAYLOAD	1 43812U 18099BG  26140.34910646  .00001437  00000-0  96034-4 0  9992	2 43812  97.3573 178.0214 0004238 240.3109 119.7698 15.08488800407715	2018-12-03		2018-12-03		2018-12-03		BlackSky Global 2	Earth Observation	Optical Imaging	Commercial	BlackSky Global	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
GLOBAL-5	55983	US	2026-05-20T08:16:08.956704	42.0027	15.38436881	0.00057653	457.9	93.6	MEDIUM	PAYLOAD	1 55983U 23041C   26140.34454811  .00010677  00000-0  28173-3 0  9998	2 55983  42.0027   3.8642 0005765 170.5157 189.5793 15.38436881177643	2023-03-24		2023-03-24		2023-03-24		BlackSky Global 5	Earth Observation	Optical Imaging	Commercial	BlackSky Global	Non-Polar Inclined	OPT_HR	UCS	UCS	UCS
KAZSTSAT	43783	KAZ	2026-05-20T08:14:43.732608	97.4288	14.99794782	0.00059592	574.7	96.01	MEDIUM	PAYLOAD	1 43783U 18099AB  26140.34356172  .00000373  00000-0  34608-4 0  9994	2 43783  97.4288 173.5394 0005959 142.4332 217.7309 14.99794782407138	2018-12-03		2018-12-03		2018-12-03		KazSTSAT (Kazakh Science and Technology Satellite)	Earth Observation	Optical Imaging	Commercial	Ghalam LLP	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
SKYSAT C10	42988	US	2026-05-20T07:33:39.774816	97.4473	15.34105191	0.00016627	470.7	93.87	MEDIUM	PAYLOAD	1 42988U 17068B   26140.31504369  .00006516  00000-0  19988-3 0  9993	2 42988  97.4473 276.9082 0001663  96.3563 263.7869 15.34105191478087	2017-10-31		2017-10-31		2017-10-31		"SkySat-12 (SkySat C10, S110)"	Earth Observation	Optical Imaging	Commercial	"Planet Labs, Inc."	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
SKYSAT C12	43797	US	2026-05-20T07:20:11.276448	96.9274	15.47923278	0.00020966	429.9	93.03	MEDIUM	PAYLOAD	1 43797U 18099AR  26140.30568607  .00012717  00000-0  24554-3 0  9996	2 43797  96.9274 164.6830 0002097 223.1865 136.9223 15.47923278417547	2018-12-03		2018-12-03		2018-12-03		"SkySat-14 (SkySat C12, S112)"	Earth Observation	Optical Imaging	Commercial	"Planet Labs, Inc."	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
GLOBAL-9	47971	US	2026-05-20T03:30:42.549120	44.9827	15.453757	0.00029969	437.4	93.18	MEDIUM	PAYLOAD	1 47971U 21023G   26140.14632580  .00015923  00000-0  33278-3 0  9994	2 47971  44.9827  47.9908 0002997 166.5685 193.5285 15.45375700290602	2021-03-22		2021-03-22		2021-03-22		BlackSky Global 9	Earth Observation	Optical Imaging	Commercial	BlackSky Global	Non-Polar Inclined	OPT_HR	UCS	UCS	UCS
SKYSAT C2	41773	US	2026-05-20T00:36:53.461728	97.0182	15.41369092	0.00048	449.2	93.42	MEDIUM	PAYLOAD	1 41773U 16058D   26140.02561877  .00008954  00000-0  21635-3 0  9997	2 41773  97.0182 163.1931 0004800 130.8880 229.2784 15.41369092540716	2016-09-16		2016-09-16		2016-09-16		"SkySat-6 (SkySat C2, S4)"	Earth Observation	Optical Imaging	Commercial	"Planet Labs, Inc."	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
SKYSAT C4	41771	US	2026-05-20T00:30:04.092480	96.9189	15.47630324	0.00024082	430.8	93.05	MEDIUM	PAYLOAD	1 41771U 16058B   26140.02088070  .00012833  00000-0  25027-3 0  9994	2 41771  96.9189 162.9896 0002408  68.6262 291.5246 15.47630324541115	2016-09-16		2016-09-16		2016-09-16		"SkySat-4 (SkySat C4, S104)"	Earth Observation	Optical Imaging	Commercial	"Planet Labs, Inc."	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
ICEYE-X38	59100	FIN	2026-05-20T15:59:16.289664	97.8376	15.12571449	0.0003268	535.5	95.2	MEDIUM	PAYLOAD	1 59100U 24043C   26140.66616076  .00003444  00000-0  20139-3 0  9992	2 59100  97.8376 283.6675 0003268 152.6089 207.5313 15.12571449107518	2024-03-04		2024-03-04		2024-03-04								SAR		KEYWORD_NEW	KEYWORD
ICEYE-X65	66300	UAE	2026-05-20T15:45:17.313696	45.405	15.08732157	0.0006369	547.2	95.44		PAYLOAD	1 66300U 25248H   26140.65645039  .00002700  00000-0  18498-3 0  9999	2 66300  45.4050 278.9712 0006369 244.1534 115.8691 15.08732157 31361	2025-11-02		2025-11-02		2025-11-02								SAR		KEYWORD_NEW	KEYWORD
ICEYE-X25	56963	FIN	2026-05-20T15:41:01.840128	97.5864	15.57923961	0.00029272	400.8	92.43	MEDIUM	PAYLOAD	1 56963U 23084AH  26140.65349352  .00029435  00000-0  39467-3 0  9991	2 56963  97.5864 285.0575 0002927  60.0235 300.1310 15.57923961163688	2023-06-12		2023-06-12		2023-06-12								SAR		KEYWORD_NEW	KEYWORD
ICEYE-X50	63255	FIN	2026-05-20T15:40:50.769696	97.6922	14.95178679	0.0001091	589	96.31	MEDIUM	PAYLOAD	1 63255U 25052AX  26140.65336539  .00001402  00000-0  13281-3 0  9993	2 63255  97.6922  33.0759 0001091   8.5599 351.5641 14.95178679 64532	2025-03-15		2025-03-15		2025-03-15								SAR		KEYWORD_NEW	KEYWORD
ICEYE-X67	66302	UAE	2026-05-20T15:38:10.110624	45.4053	15.08804736	0.00074763	547	95.44		PAYLOAD	1 66302U 25248K   26140.65150591  .00002754  00000-0  18803-3 0  9994	2 66302  45.4053 278.1315 0007476 241.5807 118.4322 15.08804736 31364	2025-11-02		2025-11-02		2025-11-02								SAR		KEYWORD_NEW	KEYWORD
ICEYE-X35	58302	FIN	2026-05-20T15:06:45.577152	97.3799	15.49840664	0.00074897	424.3	92.91	MEDIUM	PAYLOAD	1 58302U 23174AY  26140.62969418  .00028147  00000-0  50519-3 0  9998	2 58302  97.3799 224.4957 0007490 282.8985  77.1430 15.49840664141071	2023-11-11		2023-11-11		2023-11-11								SAR		KEYWORD_NEW	KEYWORD
ICEYE-X36	59103	US	2026-05-20T14:59:07.620864	97.8337	15.06632453	0.00071615	553.6	95.58	MEDIUM	PAYLOAD	1 59103U 24043F   26140.62439376  .00001926  00000-0  13431-3 0  9997	2 59103  97.8337 278.2210 0007162  63.4639 296.7321 15.06632453120992	2024-03-04		2024-03-04		2024-03-04								SAR		KEYWORD_NEW	KEYWORD
ICEYE-X71	68494	FIN	2026-05-20T14:59:04.221024	97.7598	14.91516447	0.00037579	600.3	96.55		PAYLOAD	1 68494U 26067CG  26140.62435441  .00001552  00000-0  16049-3 0  9990	2 68494  97.7598  99.2913 0003758 102.9650 257.1988 14.91516447  7613	2026-03-30		2026-03-30		2026-03-30								SAR		KEYWORD_NEW	KEYWORD
ICEYE-X53	64584	FIN	2026-05-20T14:58:01.864416	97.7404	15.00883808	0.00018449	571.3	95.94	LARGE	PAYLOAD	1 64584U 25135BJ  26140.62363269  .00002042  00000-0  16526-3 0  9994	2 64584  97.7404 257.5222 0001845 134.3326 225.8049 15.00883808 49942	2025-06-23		2025-06-23		2025-06-23								SAR		KEYWORD_NEW	KEYWORD
ICEYE-X74	68500	US	2026-05-20T14:57:53.764416	97.7606	14.91519237	0.00037518	600.3	96.55		PAYLOAD	1 68500U 26067CN  26140.62353894  .00001555  00000-0  16078-3 0  9994	2 68500  97.7606  99.2964 0003752  99.8550 260.3092 14.91519237  7616	2026-03-30		2026-03-30		2026-03-30								SAR		KEYWORD_NEW	KEYWORD
ICEYE-X76	68502	POL	2026-05-20T14:53:37.537440	97.7611	14.9162544	0.00036608	600	96.54		PAYLOAD	1 68502U 26067CQ  26140.62057335  .00001413  00000-0  14630-3 0  9992	2 68502  97.7611  99.3039 0003661  95.9430 264.2206 14.91625440  7615	2026-03-30		2026-03-30		2026-03-30								SAR		KEYWORD_NEW	KEYWORD
ICEYE-X73	68496	POR	2026-05-20T14:32:05.802144	97.7596	14.92066981	0.00032276	598.6	96.51		PAYLOAD	1 68496U 26067CJ  26140.60562271  .00001299  00000-0  13344-3 0  9995	2 68496  97.7596  99.3140 0003228  62.2634 297.8912 14.92066981  7610	2026-03-30		2026-03-30		2026-03-30								SAR		KEYWORD_NEW	KEYWORD
