name	norad_id	country	epoch	inclination	mean_motion	eccentricity	altitude_km	period_min	rcs_size	object_type	line1	line2	launch_date_x	decay_date_x	launch_date_y	decay_date_y	launch_date	decay_date	sat_name	purpose	detailed_purpose	users	operator	orbit_type	sensor	source	filter_source	commercial_source
PLEIADES 1B	39019	FR	2026-05-20T15:19:53.070816	98.1948	14.58541051	0.00013369	705	98.73	LARGE	PAYLOAD	1 39019U 12068A   26140.63880869  .00000297  00000-0  73689-4 0  9995	2 39019  98.1948 216.0687 0001337 102.3490 257.7859 14.58541051716838	2012-12-02		2012-12-02		2012-12-02		Pl?iades HR1B	Earth Observation	Optical Imaging	Commercial	"Ministry of Defense//Centre National d/Etudes Spatiales (CNES) - cooperation with Austria, Belgium, Spain, Sweden"	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
ZHUHAI-1 03D	44538	PRC	2026-05-20T15:18:44.178048	97.5371	15.4805752	0.000773	429.5	93.02	MEDIUM	PAYLOAD	1 44538U 19060E   26140.63801132  .00021375  00000-0  40904-3 0  9995	2 44538  97.5371 289.3204 0007730  51.6531 308.5413 15.48057520371815	2019-09-19		2019-09-19		2019-09-19		Zhuhai 1 (OHS 7)	Earth Observation	Hyperspectral Imaging	Commercial	Zhuhai Orbita Control Engineering Co. Ltd.	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
GLOBAL-19	55982	US	2026-05-20T15:15:46.751328	42.0027	15.38425729	0.00055154	457.9	93.6	MEDIUM	PAYLOAD	1 55982U 23041B   26140.63595777  .00010189  00000-0  26930-3 0  9993	2 55982  42.0027   2.6279 0005515 161.2732 198.8312 15.38425729177687	2023-03-24		2023-03-24		2023-03-24		BlackSky Global 19	Earth Observation	Optical Imaging	Commercial	BlackSky Global	Non-Polar Inclined	OPT_HR	UCS	UCS	UCS
NOVASAR 1	43619	UK	2026-05-20T15:14:22.701408	97.5096	14.96210546	0.00014209	585.8	96.24	LARGE	PAYLOAD	1 43619U 18071B   26140.63498497 -.00000417  00000-0 -32157-4 0  9999	2 43619  97.5096  14.0806 0001421  94.4597 265.6787 14.96210546418817	2018-09-16		2018-09-16		2018-09-16		NovaSAR-1	Earth Observation	Radar Imaging	Government/Commercial	UK Government/Surrey Satellite Technologies	Sun-Synchronous	SAR	UCS	UCS	UCS
PNEO3	48268	FR	2026-05-20T15:10:36.653952	97.8931	14.81674083	0.00014872	631.2	97.19	LARGE	PAYLOAD	1 48268U 21034A   26140.63236868  .00001172  00000-0  15547-3 0  9999	2 48268  97.8931 215.7948 0001487  97.0962 263.0420 14.81674083273579	2021-04-29		2021-04-29		2021-04-29		Pl?iades Neo 3	Earth Observation	Optical Imaging	Commercial	Airbus Defense and Space	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
KOMPSAT 5	39227	SKOR	2026-05-20T15:09:32.317056	97.6207	15.04501045	0.00023978	560.2	95.71	LARGE	PAYLOAD	1 39227U 13042A   26140.63162404  .00000352  00000-0  29443-4 0  9998	2 39227  97.6207 327.7195 0002398 195.2795 164.8359 15.04501045699713	2013-08-22		2013-08-22		2013-08-22		"Kompsat-5 (Arirang 5, Korean Multipurpose Satellite-4)"	Earth Observation	Radar Imaging	Government/Commercial	Korea Aerospace Research Institute (KARI)	Sun-Synchronous	SAR	UCS	UCS	UCS
KOMPSAT 2	29268	SKOR	2026-05-20T15:07:33.572352	97.8304	14.64639499	0.00148968	685.4	98.32	LARGE	PAYLOAD	1 29268U 06031A   26140.63024968  .00000001  00000-0  86125-5 0  9996	2 29268  97.8304 326.4104 0014897 155.6083 295.5034 14.64639499 57440	2006-07-28		2006-07-28		2006-07-28		"Kompsat-2 (Arirang 2, Korean planned Multipurpose Satellite-2)"	Earth Observation/Technology Development	Optical Imaging	Government/Commercial	Korea Aerospace Research Institute (KARI)	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
ICEYE-X7	46496	FIN	2026-05-20T15:05:41.737056	97.7492	15.30835132	0.0009773	480.5	94.07	MEDIUM	PAYLOAD	1 46496U 20068L   26140.62895529  .00008114  00000-0  27468-3 0  9998	2 46496  97.7492 105.9223 0009773  70.4013 289.8281 15.30835132310577	2020-09-28		2020-09-28		2020-09-28		ICEYE-X7 (ICEYE POC 7)	Earth Observation	Radar Imaging	Commercial	ICEYE Ltd.	Sun-Synchronous	SAR	UCS	UCS	UCS
SUPERVIEW NEO-1 01	52320	PRC	2026-05-20T15:02:51.347616	97.3406	15.16244605	0.00025993	524.3	94.97	LARGE	PAYLOAD	1 52320U 22043A   26140.62698319  .00003206  00000-0  16912-3 0  9993	2 52320  97.3406 214.2938 0002599  57.3935 302.7549 15.16244605225383	2022-04-29		2022-04-29		2022-04-29		Siwei 01 (SuperView Neo 1-01)	Earth Observation	Optical Imaging	Commercial	China Siwei Surveying and Mapping Technology Co. Ltd.		OPT_HR	UCS	UCS	UCS
JILIN-1-03	41914	PRC	2026-05-20T15:02:41.104896	97.1957	15.40845513	0.00035942	450.8	93.45	MEDIUM	PAYLOAD	1 41914U 17002B   26140.62686464  .00009506  00000-0  23367-3 0  9998	2 41914  97.1957 148.1151 0003594 269.3244  90.7591 15.40845513517618	2017-01-09		2017-01-09		2017-01-09		Jilin-1-3 (Lingqiao 3)	Earth Observation	Optical Imaging	Commercial	Chang Guang Satellite Technology Co. Ltd.	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
GRUS-1D	47936	JPN	2026-05-20T15:00:30.137184	97.5419	14.98622145	0.00129297	578.3	96.09	MEDIUM	PAYLOAD	1 47936U 21022E   26140.62534881  .00001330  00000-0  11545-3 0  9992	2 47936  97.5419  24.9297 0012930  48.2697 311.9630 14.98622145281770	2021-03-22		2021-03-22		2021-03-22		GRUS-1D	Earth Observation	Optical Imaging	Commercial	Axelspace	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
