w_mentions,w_goldstein,w_tone,w_geo,w_zscore,f1,precision,recall,best_threshold
0.0,0.0,0.0,0.0,1.0,0.23115577889447236,0.575,0.14465408805031446,0.1
0.0,0.0,0.0,0.1,0.9,0.25,0.5306122448979592,0.16352201257861634,0.1
0.0,0.0,0.0,0.2,0.8,0.2857142857142857,0.34210526315789475,0.24528301886792453,0.1
0.0,0.0,0.0,0.3,0.7,0.2900763358778626,0.36893203883495146,0.2389937106918239,0.15
0.0,0.0,0.0,0.4,0.6,0.2943396226415094,0.36792452830188677,0.24528301886792453,0.15
0.0,0.0,0.0,0.5,0.5,0.2945736434108527,0.3838383838383838,0.2389937106918239,0.2
0.0,0.0,0.0,0.6,0.4,0.2934362934362934,0.38,0.2389937106918239,0.2
0.0,0.0,0.0,0.7,0.3,0.29770992366412213,0.3786407766990291,0.24528301886792453,0.2
0.0,0.0,0.0,0.8,0.2,0.2698412698412698,0.3655913978494624,0.2138364779874214,0.25
0.0,0.0,0.0,0.9,0.1,0.2698412698412698,0.3655913978494624,0.2138364779874214,0.25
0.0,0.0,0.0,1.0,0.0,0.25675675675675674,0.2,0.3584905660377358,0.15
0.0,0.0,0.1,0.0,0.9,0.2488038277511962,0.52,0.16352201257861634,0.1
0.0,0.0,0.1,0.1,0.8,0.28448275862068967,0.4520547945205479,0.20754716981132076,0.1
0.0,0.0,0.1,0.2,0.7,0.2935153583617747,0.3208955223880597,0.27044025157232704,0.1
0.0,0.0,0.1,0.3,0.6,0.2941176470588235,0.35398230088495575,0.25157232704402516,0.15
0.0,0.0,0.1,0.4,0.5,0.2937062937062937,0.33070866141732286,0.2641509433962264,0.15
0.0,0.0,0.1,0.5,0.4,0.2878787878787879,0.3619047619047619,0.2389937106918239,0.2
0.0,0.0,0.1,0.6,0.3,0.2978723404255319,0.34146341463414637,0.2641509433962264,0.2
0.0,0.0,0.1,0.7,0.2,0.27237354085603116,0.35714285714285715,0.22012578616352202,0.25
0.0,0.0,0.1,0.8,0.1,0.26909090909090905,0.31896551724137934,0.23270440251572327,0.25
0.0,0.0,0.1,0.9,0.0,0.2569593147751606,0.19480519480519481,0.37735849056603776,0.1
0.0,0.0,0.2,0.0,0.8,0.28888888888888886,0.35135135135135137,0.24528301886792453,0.1
0.0,0.0,0.2,0.1,0.7,0.30094043887147337,0.3,0.3018867924528302,0.1
0.0,0.0,0.2,0.2,0.6,0.28679245283018867,0.3584905660377358,0.2389937106918239,0.15
0.0,0.0,0.2,0.3,0.5,0.2796610169491525,0.42857142857142855,0.20754716981132076,0.2
0.0,0.0,0.2,0.4,0.4,0.2846975088967971,0.32786885245901637,0.25157232704402516,0.2
0.0,0.0,0.2,0.5,0.3,0.2681992337164751,0.3431372549019608,0.22012578616352202,0.25
0.0,0.0,0.2,0.6,0.2,0.26811594202898553,0.3162393162393162,0.23270440251572327,0.25
0.0,0.0,0.2,0.7,0.1,0.2698412698412698,0.3655913978494624,0.2138364779874214,0.3
0.0,0.0,0.2,0.8,0.0,0.25862068965517243,0.19672131147540983,0.37735849056603776,0.15
0.0,0.0,0.3,0.0,0.7,0.2835249042145594,0.3627450980392157,0.23270440251572327,0.15
0.0,0.0,0.3,0.1,0.6,0.2905405405405405,0.31386861313868614,0.27044025157232704,0.15
0.0,0.0,0.3,0.2,0.5,0.28228228228228225,0.27011494252873564,0.29559748427672955,0.15
0.0,0.0,0.3,0.3,0.4,0.2857142857142857,0.3203125,0.2578616352201258,0.2
0.0,0.0,0.3,0.4,0.3,0.27309236947791166,0.37777777777777777,0.2138364779874214,0.25
0.0,0.0,0.3,0.5,0.2,0.26174496644295303,0.2805755395683453,0.24528301886792453,0.25
0.0,0.0,0.3,0.6,0.1,0.2647058823529412,0.3185840707964602,0.22641509433962265,0.3
0.0,0.0,0.3,0.7,0.0,0.26297577854671284,0.2923076923076923,0.2389937106918239,0.3
0.0,0.0,0.4,0.0,0.6,0.27906976744186046,0.36363636363636365,0.22641509433962265,0.2
