SQLDATE,EventRootCode,QuadClass,GLOBALEVENTID,EventCode,Actor1Name,Actor2Name,Actor1CountryCode,Actor2CountryCode,Actor1Type1Code,GoldsteinScale,NumMentions,AvgTone,ActionGeo_Type,ActionGeo_Lat,ActionGeo_Long,SOURCEURL,score_mentions,score_goldstein,score_tone,score_zscore,score_geo,priority_score
2022-05-30,19,4,1046994260,192,TAIWAN,CHINESE,TWN,CHN,MIL,-9.5,105,-2.54545454545455,4,39.9289,116.388,https://www.bignewsnetwork.com/news/272570271/taiwan-claims-30-chinese-war-planes-entered-its-air-defense-zone,1.0,0.8214285711352041,0.0,0.0,0.1,0.325
2022-08-08,15,4,1057711889,150,CHINA,TAIWAN,CHN,TWN,,-7.2,114,-3.61249428621404,3,39.1582,-75.5244,https://www.myjournalcourier.com/news/article/China-extends-threatening-military-exercises-17358267.php,1.0,0.0,0.3566849114528245,0.44810651126887685,0.1,0.325
2014-05-16,19,4,297612190,190,TAIWANESE,CHINESE,TWN,CHN,,-10.0,94,1.942392035165,4,39.9289,116.388,http://www.vancouversun.com/news/Text+message+from+Vietnamese+urges+patriotic+fervour+violence/9845876/story.html,1.0,0.9999999996428571,0.0,0.001804889091405781,0.1,0.325
2025-02-27,19,4,1229018735,193,TAIWAN,CHINA,TWN,CHN,,-10.0,1026,-3.96406951424588,4,39.9289,116.388,https://www.ksat.com/news/world/2025/02/27/taiwan-condemns-china-for-conducting-shooting-drills-off-its-coast/,1.0,0.9999999996428571,0.3913982062414418,0.5207537153835693,0.1,0.325
2023-06-09,19,4,1107777585,190,TAIWAN,CHINA,TWN,CHN,,-10.0,198,2.15821388541365,4,39.9289,116.388,https://www.theintelligencer.com/news/politics/article/honduran-president-begins-first-visit-to-china-18143620.php,1.0,0.9999999996428571,0.0,0.5047037516838117,0.1,0.325
2014-03-20,19,4,290215941,190,CHINA,TAIWAN,CHN,TWN,,-10.0,98,5.06546810339644,4,42.2258,127.356,http://www.windsorstar.com/travel/Photos+Taiwanese+martial+arts+festival+marks+Buddha+birthday/9641682/story.html,1.0,0.9999999996428571,0.0,0.0012417324703616537,0.1,0.325
2020-09-01,15,4,944021073,151,CHINESE,TAIWAN,CHN,TWN,MIL,-7.2,114,-2.11393093157303,4,39.9072,116.391,https://uk.reuters.com/uk.reuters.com/article/uk-usa-china-bombers-specialreport/special-report-pentagons-latest-salvo-against-chinas-growing-might-cold-war-bombers-idUKKBN25S4S5,1.0,0.0,0.0,0.0,0.1,0.325
2023-04-11,15,4,1095012531,151,CHINA,TAIWAN,CHN,TWN,,-7.2,100,-5.21770954537133,4,51.5,-0.116667,https://ianslive.in/news/china_s_biggest_show_of_force_since_august_showed_intent_to_annex_taiwan_say_analysts-959424/LatestNews/0,1.0,0.0,0.5151781898395122,0.09416257494264269,0.1,0.325
2025-02-27,19,4,1229018736,193,TAIWAN,CHINA,TWN,CHN,,-10.0,210,-3.96406951424588,4,39.9289,116.388,https://www.ksat.com/news/world/2025/02/27/taiwan-condemns-china-for-conducting-shooting-drills-off-its-coast/,1.0,0.9999999996428571,0.3913982062414418,0.5207537153835693,0.1,0.325
2025-02-16,15,4,1226887797,150,CHINA,TAIWAN,CHN,TWN,,-7.2,110,-3.36134453781513,3,21.3069,-157.858,https://www.classy100.com/news/chinas-ramped-up-exercises-may-be-fig-leaf-for-invasion/,1.0,0.0,0.33188727340231644,0.0,0.1,0.325
