SQLDATE,EventCode,GoldsteinScale,NumMentions,AvgTone,ActionGeo_Type,ActionGeo_Lat,ActionGeo_Long,SOURCEURL
2022-08-03,150,-7.2,357,-3.82389234604566,4,25.0478,121.532,https://abcnews.go.com/International/wireStory/china-blocks-taiwan-imports-avoids-chip-disruption-87858952
2023-08-26,190,-10.0,104,-1.96606047676615,4,26.3358,127.801,https://www.reuters.com/world/asia-pacific/taiwan-reports-20-chinese-military-aircraft-entered-defence-zone-2023-08-26/
2021-12-23,151,-7.2,48,-2.47349823321555,4,41.7922,123.433,https://www.singaporestar.com/news/272006587/4-chinese-warplanes-flew-into-taiwan-air-defence-zone
2021-12-23,151,-7.2,74,-2.47644287396938,4,39.9289,116.388,https://news.webindia123.com/news/Articles/World/20211223/3879087.html
2023-08-19,150,-7.2,50,-2.92840803210553,4,25.0478,121.532,https://www.firstpost.com/world/china-launches-military-exercises-around-taiwan-as-stern-warning-13014322.html
2024-08-17,190,-10.0,42,-3.71234567623157,4,25.0478,121.532,https://tribune.net.ph/2024/08/17/three-crew-on-chinese-boat-missing-after-collision-off-taiwan-island
2024-05-23,150,-7.2,298,-3.85935163743347,4,-35.2833,149.217,https://www.hometownregister.com/news/national/chinas-military-surrounds-taiwan-as-punishment/article_9a75cd7e-585f-5603-bbd0-398801a1a26e.html
2024-05-23,150,-7.2,69,-4.32239383152609,4,39.9289,116.388,https://www.yahoo.com/news/china-holds-military-drills-around-014534591.html
2024-05-23,150,-7.2,52,-4.53206311087781,4,39.9289,116.388,https://www.yahoo.com/news/china-holds-military-drills-around-014534591.html
2024-05-23,150,-7.2,100,-4.6166231161599,4,25.0478,121.532,https://www.yahoo.com/news/china-holds-military-drills-around-014534591.html
2024-05-19,190,-10.0,80,-1.81360913481184,4,39.9289,116.388,https://www.cnn.com/2024/05/18/asia/tsai-taiwan-map-china-intl-hnk-dst/
2024-05-19,190,-10.0,80,-1.81360913481184,4,39.9289,116.388,https://www.cnn.com/2024/05/18/asia/tsai-taiwan-map-china-intl-hnk-dst/
2024-05-19,152,-7.2,154,-2.50024416973329,4,39.9289,116.388,https://www.theaustralian.com.au/news/latest-news/taiwan-coast-guard-ramps-up-island-patrols-ahead-of-inauguration/news-story/17dae1f4a9df936d62f1b797db0ba11c?nk=dba68234df3430486272b962366dd421-1716091303
2022-10-10,190,-10.0,54,0.640253815378263,4,25.0478,121.532,https://www.wral.com/elon-musks-unsolicited-idea-for-taiwan-welcomed-by-beijing-slammed-in-taipei/20515278/
2022-10-10,190,-10.0,54,0.640253815378263,4,25.0478,121.532,https://www.wral.com/elon-musks-unsolicited-idea-for-taiwan-welcomed-by-beijing-slammed-in-taipei/20515278/
2024-10-14,150,-7.2,96,-3.75046459716497,4,21.4167,121.5,"https://www.swissinfo.ch/eng/china-launches-war-games-around-taiwan,-drawing-ire-from-taipei,-washington/87725744"
2022-05-23,190,-10.0,63,-0.462145613309358,3,38.8951,-77.0364,https://lancasteronline.com/news/politics/biden-us-would-intervene-militarily-if-china-invades-taiwan/article_0a605717-2272-58ef-940d-a01abd7e3ddf.html
2022-03-06,150,-7.2,80,-2.63868134903217,4,39.9289,116.388,https://www.arabnews.com/node/2263131/world
2025-11-24,190,-10.0,61,1.1722563012479,4,39.9289,116.388,https://nationalpost.com/news/world/xi-presses-trump-on-taiwan-amid-spat-with-japan-china-says
2022-06-21,190,-10.0,136,-2.50522380576507,4,25.0478,121.532,https://news.webindia123.com/news/Articles/World/20220621/3954485.html
2022-06-10,190,-10.0,58,-3.49248263403666,4,25.0478,121.532,https://www.msn.com/en-ca/news/world/us-chinese-defense-ministers-meet-hoping-to-avoid-misunderstandings/ar-AAYiBpt
2025-01-25,190,-10.0,48,-2.21336783804692,4,39.9289,116.388,https://www.hometownregister.com/news/national/rubio-clashes-with-china-fm-on-taiwan/article_376b3c92-4f0c-527c-bb66-f0dbb6dabbd7.html
2023-06-03,190,-10.0,100,-4.15406342922151,4,25.0478,121.532,https://news.yahoo.com/theatre-democratic-taiwan-stages-hong-035440965.html
2022-02-26,151,-7.2,49,-1.28141478447634,4,39.9289,116.388,https://www.ctvnews.ca/world/china-says-u-s-warship-sailing-in-taiwan-strait-provocative-1.5797326
2022-01-05,151,-7.2,54,-2.6581893874852,4,25.0478,121.532,https://www.business-standard.com/article/international/7-military-aircrafts-of-chinese-pla-enter-taiwan-s-air-defence-zone-122010500179_1.html
2023-03-08,154,-7.2,50,-3.4553820883945,4,39.9289,116.388,https://www.ibtimes.com/studying-ukraine-war-chinas-military-minds-fret-over-us-missiles-starlink-3674688
2022-12-26,150,-7.2,54,-2.59052966767317,4,29.0,125.0,https://www.kake.com/story/48034254/china-carries-out-military-exercises-near-taiwan-and-japan
2022-12-26,150,-7.2,81,-2.82789276955048,4,25.0478,121.532,https://www.shanghaisun.com/news/273266961/china-responds-to-us-provocation
2024-07-30,190,-10.0,70,-4.09617547232247,4,24.4367,118.318,https://www.bignewsnetwork.com/news/274475230/bodies-of-fishermen-from-february-boat-incident-return-to-mainland
2022-08-02,194,-10.0,133,-2.6294260108993,4,24.4798,118.082,https://abcnews.go.com/International/wireStory/taiwanese-troops-shoot-drone-island-outpost-89155558
2024-07-22,190,-10.0,48,-3.70702313439291,4,39.9289,116.388,https://news.webindia123.com/news/Articles/World/20240722/4217404.html
2024-07-22,190,-10.0,58,-3.19794134180355,4,25.0478,121.532,https://news.webindia123.com/news/Articles/World/20240722/4217404.html
2024-07-22,150,-7.2,50,-3.70702313439291,4,23.0936,121.219,https://news.webindia123.com/news/Articles/World/20240722/4217404.html
2022-04-14,190,-10.0,112,-5.54560220334301,4,25.0478,121.532,https://www.gwinnettdailypost.com/news/taiwan-investigates-local-tv-network-after-it-aired-false-reports-of-chinese-invasion/article_9a0760e3-ecae-532d-9bfa-0db5f90a1e9e.html
2022-08-31,193,-10.0,82,-5.50418817937837,4,24.4367,118.318,https://www.record-eagle.com/ap/national/ap-news-summary-at-3-29-a-m-edt/article_1e34d509-a452-5319-868e-ce2622d75fc8.html
