w_mentions,w_goldstein,w_tone,w_geo,f1,precision,recall,best_threshold
0.0,0.0,0.0,1.0,0.1492537313432836,0.08450704225352113,0.6382978723404256,0.8
0.0,0.0,0.1,0.9,0.1492537313432836,0.08450704225352113,0.6382978723404256,0.75
0.0,0.0,0.2,0.8,0.1492537313432836,0.08450704225352113,0.6382978723404256,0.75
0.0,0.0,0.3,0.7,0.18556701030927833,0.12244897959183673,0.3829787234042553,0.75
0.0,0.0,0.4,0.6,0.17647058823529413,0.11464968152866242,0.3829787234042553,0.65
0.0,0.0,0.5,0.5,0.1764705882352941,0.12195121951219512,0.3191489361702128,0.6
0.0,0.0,0.6,0.4,0.15384615384615385,0.0962566844919786,0.3829787234042553,0.5
0.0,0.0,0.7,0.3,0.1148036253776435,0.06690140845070422,0.40425531914893614,0.4
0.0,0.0,0.8,0.2,0.10859728506787332,0.06896551724137931,0.2553191489361702,0.4
0.0,0.0,0.9,0.1,0.09505703422053231,0.05219206680584551,0.5319148936170213,0.3
0.0,0.0,1.0,0.0,0.0970464135021097,0.053864168618266976,0.48936170212765956,0.3
0.0,0.1,0.0,0.9,0.16170212765957448,0.10106382978723404,0.40425531914893614,0.95
0.0,0.1,0.1,0.8,0.17054263565891473,0.13414634146341464,0.23404255319148937,0.9
0.0,0.1,0.2,0.7,0.17054263565891473,0.10426540284360189,0.46808510638297873,0.75
0.0,0.1,0.3,0.6,0.16176470588235295,0.12359550561797752,0.23404255319148937,0.7
0.0,0.1,0.4,0.5,0.15909090909090912,0.10852713178294573,0.2978723404255319,0.6
0.0,0.1,0.5,0.4,0.1477272727272727,0.10077519379844961,0.2765957446808511,0.55
0.0,0.1,0.6,0.3,0.11224489795918369,0.0738255033557047,0.23404255319148937,0.5
0.0,0.1,0.7,0.2,0.08877284595300261,0.050595238095238096,0.3617021276595745,0.4
0.0,0.1,0.8,0.1,0.09920634920634921,0.05470459518599562,0.5319148936170213,0.35
0.0,0.1,0.9,0.0,0.0824295010845987,0.04589371980676329,0.40425531914893614,0.35
0.0,0.2,0.0,0.8,0.16170212765957448,0.10106382978723404,0.40425531914893614,0.85
0.0,0.2,0.1,0.7,0.16393442622950818,0.13333333333333333,0.2127659574468085,0.9
0.0,0.2,0.2,0.6,0.17054263565891473,0.13414634146341464,0.23404255319148937,0.8
0.0,0.2,0.3,0.5,0.1652892561983471,0.13513513513513514,0.2127659574468085,0.75
0.0,0.2,0.4,0.4,0.15714285714285717,0.11827956989247312,0.23404255319148937,0.65
0.0,0.2,0.5,0.3,0.11678832116788322,0.08888888888888889,0.1702127659574468,0.6
0.0,0.2,0.6,0.2,0.09056603773584906,0.05504587155963303,0.2553191489361702,0.5
0.0,0.2,0.7,0.1,0.08156606851549755,0.044169611307420496,0.5319148936170213,0.4
0.0,0.2,0.8,0.0,0.07734806629834252,0.04233870967741935,0.44680851063829785,0.4
0.0,0.3,0.0,0.7,0.16170212765957448,0.10106382978723404,0.40425531914893614,0.85
0.0,0.3,0.1,0.6,0.1652892561983471,0.13513513513513514,0.2127659574468085,0.9
0.0,0.3,0.2,0.5,0.16260162601626016,0.13157894736842105,0.2127659574468085,0.8
0.0,0.3,0.3,0.4,0.1652892561983471,0.13513513513513514,0.2127659574468085,0.75
0.0,0.3,0.4,0.3,0.12820512820512822,0.09174311926605505,0.2127659574468085,0.65
0.0,0.3,0.5,0.2,0.10404624277456645,0.07142857142857142,0.19148936170212766,0.6
0.0,0.3,0.6,0.1,0.0967032967032967,0.05392156862745098,0.46808510638297873,0.5
0.0,0.3,0.7,0.0,0.07894736842105263,0.04504504504504504,0.3191489361702128,0.5
0.0,0.4,0.0,0.6,0.16170212765957448,0.10106382978723404,0.40425531914893614,0.85
0.0,0.4,0.1,0.5,0.1652892561983471,0.13513513513513514,0.2127659574468085,0.9
0.0,0.4,0.2,0.4,0.16129032258064513,0.12987012987012986,0.2127659574468085,0.8
0.0,0.4,0.3,0.3,0.15748031496062995,0.125,0.2127659574468085,0.75
0.0,0.4,0.4,0.2,0.10891089108910891,0.07096774193548387,0.23404255319148937,0.65
0.0,0.4,0.5,0.1,0.08441558441558442,0.04980842911877394,0.2765957446808511,0.6
0.0,0.4,0.6,0.0,0.07827788649706459,0.04310344827586207,0.425531914893617,0.55
0.0,0.5,0.0,0.5,0.16170212765957448,0.10106382978723404,0.40425531914893614,0.9
0.0,0.5,0.1,0.4,0.1652892561983471,0.13513513513513514,0.2127659574468085,0.9
0.0,0.5,0.2,0.3,0.15151515151515152,0.11764705882352941,0.2127659574468085,0.8
0.0,0.5,0.3,0.2,0.13333333333333333,0.0970873786407767,0.2127659574468085,0.75
0.0,0.5,0.4,0.1,0.08983451536643025,0.05053191489361702,0.40425531914893614,0.65
0.0,0.5,0.5,0.0,0.08536585365853659,0.0498220640569395,0.2978723404255319,0.65
0.0,0.6,0.0,0.4,0.1509433962264151,0.09696969696969697,0.3404255319148936,0.9
0.0,0.6,0.1,0.3,0.1652892561983471,0.13513513513513514,0.2127659574468085,0.9
0.0,0.6,0.2,0.2,0.13414634146341464,0.09401709401709402,0.23404255319148937,0.8
0.0,0.6,0.3,0.1,0.096,0.059113300492610835,0.2553191489361702,0.75
0.0,0.6,0.4,0.0,0.07968127490039842,0.04395604395604396,0.425531914893617,0.7
0.0,0.7,0.0,0.3,0.1509433962264151,0.09696969696969697,0.3404255319148936,0.95
0.0,0.7,0.1,0.2,0.16260162601626016,0.13157894736842105,0.2127659574468085,0.9
0.0,0.7,0.2,0.1,0.09947643979057592,0.056716417910447764,0.40425531914893614,0.8
0.0,0.7,0.3,0.0,0.06795016987542468,0.03588516746411483,0.6382978723404256,0.75
0.0,0.8,0.0,0.2,0.1509433962264151,0.09696969696969697,0.3404255319148936,0.95
0.0,0.8,0.1,0.1,0.13414634146341464,0.09401709401709402,0.23404255319148937,0.9
0.0,0.8,0.2,0.0,0.07984031936127745,0.04405286343612335,0.425531914893617,0.85
0.0,0.9,0.0,0.1,0.10591900311526481,0.06204379562043796,0.3617021276595745,0.95
0.0,0.9,0.1,0.0,0.06711409395973156,0.03541912632821724,0.6382978723404256,0.9
0.0,1.0,0.0,0.0,0.04425837320574163,0.02276923076923077,0.7872340425531915,0.85
0.1,0.0,0.0,0.9,0.1492537313432836,0.08450704225352113,0.6382978723404256,0.7
0.1,0.0,0.1,0.8,0.1492537313432836,0.08450704225352113,0.6382978723404256,0.7
0.1,0.0,0.2,0.7,0.1492537313432836,0.08450704225352113,0.6382978723404256,0.7
0.1,0.0,0.3,0.6,0.1782178217821782,0.11612903225806452,0.3829787234042553,0.65
0.1,0.0,0.4,0.5,0.17061611374407584,0.10975609756097561,0.3829787234042553,0.55
0.1,0.0,0.5,0.4,0.16666666666666669,0.11278195488721804,0.3191489361702128,0.5
0.1,0.0,0.6,0.3,0.13970588235294118,0.08444444444444445,0.40425531914893614,0.4
0.1,0.0,0.7,0.2,0.1079136690647482,0.06493506493506493,0.3191489361702128,0.35
0.1,0.0,0.8,0.1,0.10138248847926269,0.06470588235294118,0.23404255319148937,0.35
0.1,0.0,0.9,0.0,0.1027027027027027,0.058823529411764705,0.40425531914893614,0.3
0.1,0.1,0.0,0.8,0.16243654822335024,0.10666666666666667,0.3404255319148936,0.9
0.1,0.1,0.1,0.7,0.16346153846153844,0.10559006211180125,0.3617021276595745,0.8
0.1,0.1,0.2,0.6,0.1679389312977099,0.10232558139534884,0.46808510638297873,0.65
0.1,0.1,0.3,0.5,0.15596330275229356,0.09941520467836257,0.3617021276595745,0.6
0.1,0.1,0.4,0.4,0.14864864864864866,0.10891089108910891,0.23404255319148937,0.55
0.1,0.1,0.5,0.3,0.11659192825112108,0.07386363636363637,0.2765957446808511,0.45
0.1,0.1,0.6,0.2,0.09917355371900824,0.05491990846681922,0.5106382978723404,0.35
0.1,0.1,0.7,0.1,0.09018567639257294,0.051515151515151514,0.3617021276595745,0.35
0.1,0.1,0.8,0.0,0.08045977011494254,0.046511627906976744,0.2978723404255319,0.35
0.1,0.2,0.0,0.7,0.16243654822335024,0.10666666666666667,0.3404255319148936,0.9
0.1,0.2,0.1,0.6,0.16170212765957448,0.10106382978723404,0.40425531914893614,0.75
0.1,0.2,0.2,0.5,0.1626794258373206,0.10493827160493827,0.3617021276595745,0.7
0.1,0.2,0.3,0.4,0.16129032258064513,0.12987012987012986,0.2127659574468085,0.65
0.1,0.2,0.4,0.3,0.1358024691358025,0.09565217391304348,0.23404255319148937,0.55
0.1,0.2,0.5,0.2,0.09944751381215469,0.06716417910447761,0.19148936170212766,0.5
0.1,0.2,0.6,0.1,0.09808102345415778,0.054502369668246446,0.48936170212765956,0.4
0.1,0.2,0.7,0.0,0.0806045340050378,0.045714285714285714,0.3404255319148936,0.4
0.1,0.3,0.0,0.6,0.16243654822335024,0.10666666666666667,0.3404255319148936,0.9
0.1,0.3,0.1,0.5,0.15920398009950248,0.1038961038961039,0.3404255319148936,0.8
0.1,0.3,0.2,0.4,0.1568627450980392,0.10191082802547771,0.3404255319148936,0.7
0.1,0.3,0.3,0.3,0.15267175572519084,0.11904761904761904,0.2127659574468085,0.65
0.1,0.3,0.4,0.2,0.11594202898550723,0.075,0.2553191489361702,0.55
0.1,0.3,0.5,0.1,0.08333333333333334,0.04905660377358491,0.2765957446808511,0.5
0.1,0.3,0.6,0.0,0.07894736842105263,0.04329896907216495,0.44680851063829785,0.45
0.1,0.4,0.0,0.5,0.16243654822335024,0.10666666666666667,0.3404255319148936,0.9
0.1,0.4,0.1,0.4,0.15920398009950248,0.1038961038961039,0.3404255319148936,0.8
0.1,0.4,0.2,0.3,0.14953271028037382,0.09580838323353294,0.3404255319148936,0.7
0.1,0.4,0.3,0.2,0.13071895424836602,0.09433962264150944,0.2127659574468085,0.65
0.1,0.4,0.4,0.1,0.10599078341013825,0.059431524547803614,0.48936170212765956,0.55
0.1,0.4,0.5,0.0,0.08383233532934133,0.04878048780487805,0.2978723404255319,0.55
0.1,0.5,0.0,0.4,0.16243654822335024,0.10666666666666667,0.3404255319148936,0.9
0.1,0.5,0.1,0.3,0.15920398009950248,0.1038961038961039,0.3404255319148936,0.8
0.1,0.5,0.2,0.2,0.13821138211382114,0.08542713567839195,0.3617021276595745,0.7
0.1,0.5,0.3,0.1,0.10196078431372549,0.0625,0.2765957446808511,0.65
0.1,0.5,0.4,0.0,0.08203125,0.04516129032258064,0.44680851063829785,0.6
